"Precipitation (mm)","Historical Ref Period, 1995-2014","2020-2039","2040-2059","2060-2079","2080-2099"
1213.7226956608802,,,,,0.00006051604701090606
1238.1341183652269,,,,,0.00015561002133874466
1262.5455410695736,,,,,0.0003580549074817696
1286.9569637739203,,,,,0.0007372363772360117
1308.4772445504839,,,,0.00008465898075568173
1311.368386478267,,,,,0.0013583414070473454
1325.9270507115411,,,,0.0002176907853801787
1335.7798091826137,,,,,0.0022395263706716977
1343.3768568725984,,,,0.0005009012488293145
1360.1912318869604,,,,,0.00330406421411426
1360.8266630336557,,,,0.001031357521775398
1362.628518042563,,,0.00006920690679175239
1378.276469194713,,,,0.0019002529860904767
1383.9744049267226,,,0.00017795756290413811
1384.602654591307,,,,,0.004362001747996889
1395.7262753557702,,,,0.003132987517878805
1405.3202918108823,,,0.00040947606184446535
1409.0140772956538,,,,,0.0051530961859342665
1413.1760815168275,,,,0.00462222373295176
1420.21004009892,,0.0000690086315780532
1426.666178695042,,,0.0008431127240294924
1430.6258876778847,,,,0.006102226438771966
1433.4255000000005,,,,,0.005447480949569257
1441.6172578657067,,0.00017744772110582838
1448.0120655792016,,,0.0015534161894606522
1448.075693838942,,,,0.0072089287451073325
1457.8369227043472,,,,,0.005153096185934245
1460.655746499415,0.00008262874429047953
1463.0244756324935,,0.0004083029281583858
1465.5254999999993,,,,0.007620758586452585
1469.3579524633612,,,0.002561150313813719
1478.53430458068,0.00021247026693462014
1482.248345408694,,,,,0.004362001747996853
1482.9753061610566,,,,0.007208928745107395
1484.4316933992802,,0.0008406972374360504
1490.703839347521,,,0.003778569080345935
1496.4128626619452,0.0004888889617481249
1500.4251123221138,,,,0.006102226438772072
1505.838911166067,,0.0015489657098596038
1506.6597681130406,,,,,0.0033040642141142188
1512.0497262316806,,,0.004988439650472853
1514.2914207432102,0.0010066241782992857
1517.874918483171,,,,0.004622223732951881
1527.2461289328537,,0.0025538127134306517
1531.0711908173873,,,,,0.002239526370671661
1532.1699788244753,0.0018546823582488582
1533.3956131158402,,,0.005893145125037975
1535.3247246442284,,,,0.0031329875178789145
1548.6533466996405,,0.0037677436204805507
1550.0485369057403,0.0030578542544371684
1552.7745308052856,,,,0.0019002529860905595
1554.7414999999999,,,0.006229807215576183
1555.482613521734,,,,,0.0013583414070473172
1567.9270949870054,0.0045113765778219475
1570.0605644664272,,0.004974147956427078
1570.224336966343,,,,0.0010313575217754517
1576.0873868841595,,,0.0058931451250379885
1579.8940362260807,,,,,0.0007372363772359936
1585.8056530682704,0.00595588682395113
1587.6741431274002,,,,0.0005009012488293447
1591.467782233214,,0.005876261483459488
1597.4332737683192,,,0.004988439650472878
1603.6842111495355,0.007036048917323955
1604.3054589304274,,,,,0.0003580549074817594
1605.1239492884574,,,,0.0002176907853801938
1612.8750000000007,,0.006211959049630951
1618.7791606524788,,,0.003778569080345962
1621.5627692308005,0.007438002523993357
1622.5737554495147,,,,0.00008465898075568835
1628.7168816347742,,,,,0.0001556100213387395
1634.2822177667874,,0.005876261483459447
1639.4413273120656,0.007036048917323916
1640.1250475366385,,,0.002561150313813743
1653.1283043391209,,,,,0.0000605160470109038
1655.6894355335742,,0.004974147956427007
1657.3198853933307,0.005955886823951062
1661.4709344207981,,,0.0015534161894606708
1675.1984434745957,0.004511376577821872
1677.096653300361,,0.003767743620480471
1682.8168213049578,,,0.0008431127240295043
1693.0770015558608,0.003057854254437099
1698.5038710671477,,0.0025538127134305793
1704.1627081891174,,,0.0004094760618444721
1710.9555596371258,0.001854682358248806
1719.9110888339344,,0.001548965709859549
1725.508595073277,,,0.00017795756290414153
1728.8341177183909,0.0010066241782992521
1741.3183066007211,,0.0008406972374360147
1746.712675799656,0.0004888889617481056
1746.8544819574367,,,0.00006920690679175387
1762.725524367508,,0.00040830292815836563
1764.591233880921,0.0002124702669346104
1782.469791962186,0.00008262874429047534
1784.1327421342946,,0.0001774477211058183
1805.5399599010814,,0.00006900863157804885
