"Precipitation (mm)","Historical Ref Period, 1995-2014","2020-2039","2040-2059","2060-2079","2080-2099"
2513.98878724923,0.000037741613468506534
2553.1308023411934,0.00009704819741670425
2559.28073296134,,0.00003312530399574774
2592.272817433157,0.0002233055625104444
2603.87754041008,,0.00008517789109228748
2631.4148325251203,0.00045978697814728914
2648.4743478588202,,0.00019599227384044834
2661.2476928838696,,,0.000028913365299605207
2670.556847617084,0.0008471471432000429
2693.0711553075603,,0.0004035488158746639
2709.6988627090473,0.0013967095144067593
2712.341115896773,,,0.00007434737748874512
2737.6679627563003,,0.0007435295968744626
2748.8408778010107,0.0020606222746464755
2763.434538909676,,,0.00017107152315271032
2782.2647702050403,,0.0012258730617620175
2787.982892892974,0.0027204186666749883
2790.58517343289,,,,0.000026246664596201876
2814.5279619225794,,,0.00035223689814605337
2826.8615776537804,,0.0018085803174533474
2827.1249079849376,0.003213794919230569
2846.86976527368,,,,0.00006749026480777578
2865.6213849354826,,,0.0006489885450789871
2866.266923076901,0.00339739177508811
2871.4583851025204,,0.0023876746924057996
2903.1543571144703,,,,0.0001552934721926649
2905.4089381688646,0.0032137949192305526
2916.0551925512605,,0.002820704360409367
2916.714807948386,,,0.0010700012187124556
2944.550953260828,0.00272041866667496
2959.4389489552605,,,,0.00031974983293184137
2960.6520000000005,,0.0029818448391549165
2967.808230961289,,,0.0015786162565909515
2983.6929683527915,0.0020606222746464434
3005.2488074487405,,0.002820704360409361
3015.7235407960507,,,,0.0005891318597111891
3018.9016539741924,,,0.0020840777976562433
3022.834983444755,0.0013967095144067302
3049.68053691714,,,,,0.000034148321411163817
3049.8456148974806,,0.0023876746924057887
3061.9769985367184,0.0008471471432000212
3069.9950769870957,,,0.0024620470074833093
3072.008132636841,,,,0.0009713142283529612
3092.9413105930134,,,,,0.00008780846215080527
3094.4424223462206,,0.0018085803174533353
3101.119013628682,0.0004597869781472749
3121.088499999999,,,0.0026026982005145248
3128.292724477631,,,,0.0014330193314930554
3136.2020842688867,,,,,0.0002020451544253776
3139.0392297949606,,0.0012258730617620065
3140.2610287206453,0.0002233055625104363
3172.181923012902,,,0.0024620470074833193
3179.4030438126088,0.00009704819741670028
3179.46285794476,,,,,0.00041601171935966205
3183.6360372437007,,0.0007435295968744541
3184.5773163184213,,,,0.001891861787123813
3218.545058904572,0.00003774161346850476
3222.723631620633,,,,,0.0007664922156198586
3223.2753460258054,,,0.0020840777976562598
3228.2328446924407,,0.00040354881587465835
3240.8619081592115,,,,0.002234970621921321
3265.9844052965063,,,,,0.0012637320197185296
3272.8296521411808,,0.00019599227384044528
3274.3687690387087,,,0.0015786162565909704
3297.1465000000017,,,,0.002362649453157062
3309.2451789723796,,,,,0.0018644351757867435
3317.426459589921,,0.00008517789109228598
3325.462192051612,,,0.0010700012187124725
3352.505952648253,,,,,0.0024614138735765626
3353.431091840792,,,,0.002234970621921305
3362.023267038661,,0.0000331253039957471
3376.555615064515,,,0.0006489885450789999
3395.766726324126,,,,,0.002907816909921641
3409.715683681582,,,,0.0018918617871237857
3427.6490380774185,,,0.00035223689814606167
3439.0274999999992,,,,,0.003073933932161151
3466.0002755223722,,,,0.0014330193314930249
3478.7424610903217,,,0.000171071523152715
3482.2882736758725,,,,,0.002907816909921655
3522.2848673631624,,,,0.0009713142283529333
3525.5490473517457,,,,,0.0024614138735765856
3529.835884103225,,,0.00007434737748874745
3568.809821027619,,,,,0.0018644351757867697
3578.5694592039526,,,,0.000589131859711168
3580.9293071161283,,,0.000028913365299606234
3612.070594703492,,,,,0.0012637320197185532
3634.854051044743,,,,0.00031974983293182765
3655.3313683793654,,,,,0.0007664922156198765
3691.138642885533,,,,0.00015529347219265719
3698.5921420552386,,,,,0.0004160117193596738
3741.852915731112,,,,,0.00020204515442538424
3747.4232347263232,,,,0.00006749026480777188
3785.113689406985,,,,,0.00008780846215080855
3803.7078265671134,,,,0.0000262466645962002
3828.3744630828583,,,,,0.00003414832141116527
