"Precipitation (mm)","Historical Ref Period, 1995-2014","2020-2039","2040-2059","2060-2079","2080-2099"
2288.892094179273,0.00006007538233716771
2313.4825794414096,0.00015447690305573397
2338.073064703546,0.0003554476296310346
2362.6635499656827,0.0007318679825095119
2367.7952082354377,,,,0.00005133339996774922
2375.297506909708,,,0.000059631576069638524
2387.2540352278193,0.0013484502607725023
2396.573407320389,,,,0.00013199790566181842
2400.0710061419627,,,0.00015333570652734796
2411.844520489956,0.0022232186274167604
2424.834449554313,,0.00008413807696729734
2424.8445053742175,,,0.0003528217639324472
2425.35160640534,,,,0.00030372399857618923
2436.4350057520924,0.0032800047381432553
2442.3922884927224,,0.0002163513414867044
2449.6180046064724,,,0.000726461315335613
2454.1298054902913,,,,0.0006253688350894777
2454.5369904275713,,,,,0.00007413493469848356
2459.950127431132,,0.0004978192207232253
2461.025491014229,0.004330238601326457
2474.391503838727,,,0.0013384885983760196
2474.463935935619,,,,,0.00019062941715770627
2477.5079663695415,,0.001025011614519291
2482.9080045752426,,,,0.0011522279822432872
2485.6159762763655,0.005115572461869753
2494.3908814436663,,,,,0.00043863369297483063
2495.065805307951,,0.0018885607950138922
2499.165003070982,,,0.0022067946227321464
2510.206461538502,0.005407813579773903
2511.6862036601938,,,,0.0018997027830203988
2512.6236442463605,,0.0031137103537497526
2514.317826951714,,,,,0.0009031483942414072
2523.938502303237,,,0.0032557737369630375
2530.18148318477,,0.004593783349760694
2534.2447724597614,,,,,0.0016640305585649217
2534.7969468006386,0.005115572461869669
2540.464402745145,,,,0.002802708673150569
2547.7393221231796,,0.006064679649982831
2548.7120015354917,,,0.004298249008311799
2554.171717967809,,,,,0.0027435225770009977
2559.387432062775,0.004330238601326314
2565.297161061589,,0.007164572455201643
2569.242601830096,,,,0.003700115778375153
2573.4855007677465,,,0.005077781223058561
2574.0986634758565,,,,,0.004047630287365071
2582.8549999999987,,0.007573868321738682
2583.9779173249117,0.0032800047381430935
2594.025608983904,,,,,0.0053436523156269
2598.0208009150474,,,,0.004371170303591979
2598.2590000000014,,,0.005367863412717743
2600.412838938408,,0.007164572455201766
2608.5684025870482,0.002223218627416614
2613.9525544919516,,,,,0.006312779305799478
2617.9706778768177,,0.006064679649983041
2623.032499232256,,,0.005077781223058499
2626.7989999999986,,,,0.004620885404999129
2633.158887849185,0.0013484502607723913
2633.879499999999,,,,,0.006673414150708923
2635.5285168152272,,0.0045937833497609335
2647.805998464511,,,0.004298249008311694
2653.086355753637,,0.003113710353749967
2653.8064455080466,,,,,0.006312779305799543
2655.57719908495,,,,0.0043711703035920245
2657.7493731113213,0.0007318679825094399
2670.6441946920463,,0.0018885607950140555
2672.579497696766,,,0.003255773736962918
2673.733391016094,,,,,0.005343652315627008
2682.339858373458,0.0003554476296309937
2684.355398169901,,,,0.003700115778375231
2688.202033630456,,0.0010250116145193973
2693.6603365241417,,,,,0.004047630287365193
2697.3529969290207,,,0.0022067946227320384
2705.7598725688654,,0.0004978192207232855
2706.9303436355945,0.00015447690305571372
2713.1335972548522,,,,0.0028027086731506573
2713.5872820321893,,,,,0.0027435225770011088
2722.1264961612756,,,0.0013384885983759379
2723.317711507275,,0.00021635134148673428
2731.520828897731,0.000060075382337158796
2733.514227540237,,,,,0.0016640305585650063
2740.8755504456844,,0.00008413807696731041
2741.9117963398035,,,,0.0018997027830204788
2746.8999953935304,,,0.0007264613153355595
2753.4411730482843,,,,,0.0009031483942414621
2770.6899954247547,,,,0.0011522279822433479
2771.673494625785,,,0.0003528217639324168
2773.368118556332,,,,,0.00043863369297486186
2793.2950640643794,,,,,0.00019062941715772174
2796.44699385804,,,0.00015333570652733292
2799.468194509706,,,,0.0006253688350895173
2813.222009572427,,,,,0.00007413493469849034
2821.220493090295,,,0.00005963157606963195
2828.246393594657,,,,0.00030372399857621146
2857.0245926796083,,,,0.0001319979056618295
2885.8027917645595,,,,0.000051333399967754146
