"Precipitation (mm)","Historical Ref Period, 1995-2014","2020-2039","2040-2059","2060-2079","2080-2099"
1712.898267854845,0.00009604918118148254
1728.2787509137067,0.00024697936946420053
1743.6592339725685,0.0005682935746850391
1759.0397170314302,0.0011701185696739362
1761.2408937252278,,0.00008085981403574627
1774.420200090292,0.0021559170890373775
1779.5105722002024,,0.0002079216672113724
1789.8006831491537,0.003554506362561829
1797.780250675177,,0.00047842274344760875
1805.1811662080154,0.0052441076047073
1816.0499291501517,,0.0009850741961540824
1820.561649266877,0.006923233041507099
1824.959186519928,,,0.00008640972110855177
1834.3196076251263,,0.0018149770019034385
1835.9421323257388,0.008178833444279892
1842.0554435732693,,,0.00022219261187290474
1851.3226153846006,0.008646071753721176
1851.378704930005,,,,0.00007563578446192897
1852.589286100101,,0.0029923911888697485
1859.1517006266106,,,0.0005112598430540605
1866.7030984434623,0.008178833444279839
1870.8589645750756,,0.004414796258375814
1870.91023771556,,,,0.00019448867887838727
1876.247957679952,,,0.0010526859055510036
1882.083581502324,0.006923233041507008
1889.1286430500502,,0.005828382182713696
1890.4417705011151,,,,0.00044751376115076733
1893.3442147332933,,,0.00193955005243495
1897.4640645611858,0.005244107604707198
1900.2341460613698,,,,,0.00007840193350301215
1907.3983215250248,,0.0068854199817094406
1909.9733032866702,,,,0.0009214324874205286
1910.4404717866346,,,0.0031977774270370504
1912.8445476200475,0.0035545063625617352
1919.076574276773,,,,,0.0002016015114669313
1925.6679999999994,,0.007278768496991588
1927.536728839976,,,0.004717810917406861
1928.2250306789092,0.0021559170890373064
1929.5048360722253,,,,0.001697718588106587
1937.9190024921763,,,,,0.0004638802174529615
1943.605513737771,0.0011701185696738902
1943.937678474974,,0.006885419981709479
1944.6329858933173,,,0.006228419950356299
1949.0363688577804,,,,0.0027990647478743193
1956.7614307075796,,,,,0.000955131081407917
1958.9859967966327,0.0005682935746850129
1961.7292429466586,,,0.007358008764053543
1962.2073569499487,,0.005828382182713761
1968.5679016433355,,,,0.004129573907926997
1974.3664798554944,0.00024697936946418763
1975.603858922983,,,,,0.0017598074879299499
1978.8255,,,0.007778355210669977
1980.4770354249233,,0.004414796258375888
1988.0994344288906,,,,0.0054518336925509165
1989.7469629143561,0.00009604918118147689
1994.4462871383862,,,,,0.002901432037687468
1995.9217570533413,,,0.007358008764053543
1998.746713899898,,0.002992391188869815
2007.6309672144457,,,,0.0064405805019067675
2013.0180141066826,,,0.006228419950356299
2013.2887153537895,,,,,0.004280600528286042
2017.0163923748726,,0.0018149770019034893
2027.1625000000008,,,,0.006808516340927421
2030.114271160024,,,0.004717810917406861
2032.1311435691928,,,,,0.0056512179476105266
2035.2860708498472,,0.0009850741961541154
2046.694032785556,,,,0.006440580501906701
2047.2105282133653,,,0.0031977774270370504
2050.973571784596,,,,,0.006676125167782932
2053.555749324822,,0.0004784227434476225
2064.3067852667064,,,0.0019395500524349645
2066.225565571111,,,,0.005451833692550804
2069.8159999999993,,,,,0.0070575171423554435
2071.8254277997967,,0.00020792166721137934
2081.4030423200475,,,0.0010526859055510218
2085.757098356666,,,,0.004129573907926868
2088.6584282154026,,,,,0.006676125167782969
2090.0951062747713,,0.0000808598140357493
2098.4992993733886,,,0.0005112598430540763
2105.288631142221,,,,0.002799064747874204
2107.500856430806,,,,,0.005651217947610587
2115.5955564267297,,,0.0002221926118729152
2124.8201639277763,,,,0.0016977185881064995
2126.343284646209,,,,,0.004280600528286112
2132.691813480071,,,0.00008640972110855753
2144.3516967133314,,,,0.0009214324874204709
2145.1857128616125,,,,,0.00290143203768753
2163.8832294988865,,,,0.0004475137611507349
2164.028141077016,,,,,0.0017598074879299967
2182.870569292419,,,,,0.0009551310814079478
2183.4147622844416,,,,0.00019448867887837123
2201.7129975078224,,,,,0.00046388021745297903
2202.9462950699967,,,,0.00007563578446192191
2220.5554257232257,,,,,0.00020160151146693996
2239.397853938629,,,,,0.00007840193350301599
