"Precipitation (mm)","Historical Ref Period, 1995-2014","2020-2039","2040-2059","2060-2079","2080-2099"
684.919953177038,,,,,0.00011126347347299135
698.1972917129226,,,,,0.0002861011638489
711.4746302488072,,,,,0.0006583118803726951
724.7519687846918,,,,,0.0013554665936315992
738.0293073205764,,,,,0.0024974166452584007
744.650073282826,,,,0.00009555074858543266
751.306645856461,,,,,0.004117543944838084
760.110787362512,,,,0.0002456977076449259
764.5839843923457,,,,,0.006074779817887111
775.571501442198,,,,0.0005653445017386081
777.8613229282303,,,,,0.008019880506899722
791.032215521884,,,,0.0011640464175827294
791.1386614641149,,,,,0.009474369346764233
804.4159999999995,,,,,0.010015618700570432
806.49292960157,,,,0.002144729285681416
817.6933385358841,,,,,0.009474369346764324
821.953643681256,,,,0.0035360607931964423
826.9517002758639,,,0.00009062293992626119
830.9706770717687,,,,,0.008019880506899876
837.414357760942,,,,0.005216894107046697
843.2531224674345,,,0.00023302641716111823
844.2480156076533,,,,,0.006074779817887285
852.875071840628,,,,0.006887305978147509
857.5253541435379,,,,,0.004117543944838241
859.5545446590052,,,0.0005361881678288664
868.335785920314,,,,0.008136390633876372
870.8026926794225,,,,,0.00249741664525852
875.8559668505758,,,0.001104013418352866
883.7965,,,,0.00860120428127804
884.0800312153071,,,,,0.0013554665936316766
892.1573890421464,,,0.0020341198378013643
897.3573697511918,,,,,0.0006583118803727388
899.257214079686,,,,0.008136390633876372
908.458811233717,,,0.0033536966437362065
910.6347082870764,,,,,0.0002861011638489218
914.717928159372,,,,0.006887305978147509
923.912046822961,,,,,0.00011126347347300093
924.7602334252877,,,0.004947844870538615
930.178642239058,,,,0.005216894107046697
933.2431941193489,,0.00011588015679885116
941.0616556168583,,,0.0065321091163758425
945.639356318744,,,,0.0035360607931964423
945.9915614394213,,0.000297972431493363
957.3630778084289,,,0.007716775122605233
958.7399287594936,,0.0006856273810169435
961.10007039843,,,,0.002144729285681416
971.488296079566,,0.001411709310367384
973.6644999999995,,,0.00815761708218159
974.0125682268739,0.0001031184708103566
976.560784478116,,,,0.0011640464175827294
984.2366633996384,,0.0026010425830796935
988.3386418426879,0.0002651572307808954
989.9659221915701,,,0.0077167751226052805
992.021498557802,,,,0.0005653445017386081
996.9850307197107,,0.004288394232720297
1002.664715458502,0.000610120395322746
1006.2673443831408,,,0.006532109116375924
1007.482212637488,,,,0.0002456977076449259
1009.7333980397831,,0.006326842186767995
1016.990789074316,0.0012562401478841535
1022.4817653598554,,0.00835265142853186
1022.5687665747114,,,0.004947844870538706
1022.942926717174,,,,0.00009555074858543266
1031.31686269013,0.002314594155627305
1035.2301326799277,,0.009867491740133206
1038.8701887662821,,,0.003353696643736279
1045.642936305944,0.0038161206174209435
1047.9785,,0.010431199289687268
1055.1716109578529,,,0.0020341198378014125
1059.969009921758,0.005630077740492269
1060.7268673200722,,0.009867491740133206
1071.4730331494236,,,0.0011040134183528923
1073.4752346401444,,0.00835265142853186
1074.295083537572,0.007432788031321359
1086.2236019602167,,0.0063268421867680134
1087.7744553409943,,,0.0005361881678288781
1088.621157153386,0.008780801537424623
1098.971969280289,,0.004288394232720331
1102.9472307692001,0.009282428926444897
1104.075877532565,,,0.00023302641716112257
1111.7203366003612,,0.002601042583079732
1117.2733043850142,0.008780801537424594
1120.3772997241358,,,0.00009062293992626247
1124.4687039204334,,0.0014117093103674172
1131.5993780008282,0.007432788031321306
1137.2170712405057,,0.0006856273810169673
1145.9254516166422,0.005630077740492209
1149.965438560578,,0.0002979724314933773
1160.2515252324563,0.0038161206174208897
1162.7138058806502,,0.00011588015679885847
1174.5775988482703,0.002314594155627264
1188.9036724640844,0.0012562401478841201
1203.2297460798984,0.0006101203953227274
1217.5558196957124,0.0002651572307808861
1231.8818933115265,0.00010311847081035258
