,Country,Year,Unweighted_Temp,Pop_Weighted_Temp,Ag_Weighted_Temp,Ag_Weighted_Temp_Change,ln_GDP_Change,ln_TFP_Change
7133,GRC,1992,12.508823527984958,14.33,14.334608784665177,0.2479644598719872,0.006804851498383613,0.0081823160726841
7134,GRC,1993,12.951143785458955,14.69,14.57343000292021,0.2388212182550333,-0.01615945666560492,0.0091929442151892
7135,GRC,1994,11.91274509706772,15.68,15.56444283730028,0.9910128343800686,0.019851768552733517,-0.0045414542930144
7136,GRC,1995,13.73251635270814,14.73,14.658649295006011,-0.9057935422942656,0.020669428852905014,-0.0214501675698715
7137,GRC,1996,14.438398688970729,14.4,14.404712423211045,-0.2539368717949699,0.023782333717928594,-0.0366145739524519
7138,GRC,1997,14.411601299736532,14.3,14.381455066161088,-0.023257357049955,0.03577992743341696,-0.0438238767979513
7139,GRC,1998,15.034313759005647,15.12,15.201967690772491,0.8205126246114052,0.03289953811192703,0.0963893555761963
7140,GRC,1999,17.343300669801007,15.62,15.806036454266373,0.6040687634938777,0.033444325203447534,0.0644790286650396
7141,GRC,2000,14.200817013500263,15.37,15.487370188233802,-0.3186662660325687,0.04410572184992034,-0.0063432883693321
7142,GRC,2001,13.823202614556825,15.7,15.673729676741962,0.1863594885081596,0.040781384558627565,0.0212161810739521
7143,GRC,2002,12.80457515806397,15.29,15.522044552838835,-0.1516851239031247,0.034015255412594314,0.0087974586588517
7144,GRC,2003,12.815032710826477,15.31,15.281496100793014,-0.2405484520458234,0.057655490256060205,-0.0853155099448184
7145,GRC,2004,12.007352929635372,15.22,15.173800412103082,-0.1076956886899314,0.04265224389170896,0.1225399462765937
7146,GRC,2005,12.079248388547427,14.85,14.823977345852382,-0.3498230662506998,0.022747400370228377,0.0515531176123662
7147,GRC,2006,11.993300667227388,14.88,14.85028143534026,0.0263040894878763,0.05351905378042332,-0.0511675128246995
7148,GRC,2007,14.47156861839584,15.8,15.618168681295096,0.7678872459548369,0.03491432986519882,-0.0620011852809385
7149,GRC,2008,15.713071909349638,15.77,15.687575042103084,0.0694063608079869,-0.0022900773367275917,0.0753354619608073
7150,GRC,2009,14.835457500228607,15.65,15.537297644113805,-0.1502773979892779,-0.03183498650486172,0.0057125460692484
7151,GRC,2010,13.869117629890837,16.11,16.06315093876588,0.5258532946520749,-0.050566889540583304,-0.0039610986595546
7152,GRC,2011,14.455228727091766,,15.054894566825366,-1.008256371940513,-0.07404413761283024,0.0381230040369846
7153,GRC,2012,13.328921571057409,,15.87160075073352,0.8167061839081544,-0.07225363969695664,0.0328296664216285
7154,GRC,2013,12.344117650591755,,15.999551544723207,0.1279507939896884,-0.039182289299748874,-0.1148384338879253
7155,NLD,1961,9.543137287684518,10.27,9.710006509695276,,-0.2675726095746285,
7156,NLD,1962,8.15539213211513,8.51,7.975360065256795,-1.7346464444384813,0.06629122707059665,0.023298613819517
7157,NLD,1963,9.108823503933692,8.25,7.652048113409847,-0.3233119518469483,0.03540723898071363,-0.0228833136285611
7158,NLD,1964,10.11176472551682,9.54,8.836133143660701,1.1840850302508548,0.07931675482858935,0.0278193654843366
7159,NLD,1965,10.224999981183633,9.17,8.459522473652628,-0.3766106700080733,0.08305475814352548,-0.0217247482938032
7160,NLD,1966,10.18774512819215,9.87,9.1493926900481,0.6898702163954713,0.02719574280849102,0.0385369463512472
7161,NLD,1967,10.714705904324846,10.23,9.689501869618557,0.5401091795704556,0.051342073685628264,0.0956480492272797
7162,NLD,1968,10.647058803405534,9.44,8.949569211798575,-0.7399326578199794,0.061986611621374976,0.0482215234189684
7163,NLD,1969,9.936274502207254,9.45,8.987340037699292,0.0377708259007167,0.062467562852027925,-0.0260583478059412
7164,NLD,1970,7.679411768767178,9.41,8.86476408647471,-0.1225759512245829,0.05531547280435589,0.0725744380235502
7165,NLD,1971,7.767156871145265,9.82,9.446079281479326,0.5813151950046169,0.04244669024725667,0.0447987514466756
7166,NLD,1972,6.868137277808853,9.19,8.866003831508568,-0.5800754499707583,0.02491884158031965,-0.035312300797603
7167,NLD,1973,9.928431383534972,9.67,9.301993678900642,0.435989847392074,0.05629344018782945,0.0227906459577731
7168,NLD,1974,9.335784306128813,9.98,9.56293664984119,0.2609429709405475,0.0415470138744638,0.0394318677683633
7169,NLD,1975,10.042156865783761,10.11,9.657286297138358,0.0943496472971681,0.001311905730958074,0.0033640797919636
7170,NLD,1976,10.6441176432897,10.1,9.590001809619652,-0.0672844875187053,0.046743464343173,0.0032215083233761
7171,NLD,1977,9.294607850668195,9.91,9.484437973434904,-0.1055638361847481,0.018900640102149424,-0.0027563088381539
7172,NLD,1978,11.587745121296711,9.2,8.898151689952437,-0.5862862834824671,0.023059274148749864,0.0528711557467449
7173,NLD,1979,10.567156844863694,8.65,8.265263607176472,-0.6328880827759651,0.019896721696454733,-0.0018146700333732
7174,NLD,1980,10.394607784701332,9.38,8.95947880324809,0.6942151960716174,0.032116169747812506,0.0238654239366908
7175,NLD,1981,10.561764707167931,9.57,9.046674870664988,0.0871960674168992,-0.007717631560382188,0.0353907910833788
7176,NLD,1982,6.851470596138745,10.23,9.809995322755183,0.7633204520901948,-0.012705917397145328,0.0256286962213643
7177,NLD,1983,9.12696083211431,10.23,9.813466289765628,0.0034709670104433,0.020708246468345237,-0.004204063118304
7178,NLD,1984,8.09411762216512,9.59,9.26413219955364,-0.5493340902119872,0.03000365255399018,0.0056194663558271
7179,NLD,1985,9.42352939923019,8.69,8.284583323126547,-0.979548876427092,0.025366149357264334,-0.0166153818592196
7180,NLD,1986,9.750980388373131,9.06,8.659370208850358,0.374786885723811,0.02762459856814914,0.0460686227993338
7181,NLD,1987,10.064705895442591,8.93,8.436247594535667,-0.2231226143146916,0.01920142023932314,-0.0131734371080289
7182,NLD,1988,10.269117638176567,10.5,10.043960250263918,1.6077126557282515,0.03385871686811015,-0.0135000049379998
7183,NLD,1989,10.826470607636026,10.86,10.431134766432796,0.3871745161688782,0.043035691552283595,0.0812619649005297
