,Country,Year,Temp,TFP,ln_TFP,Temp_change,ln_TFP_change
0,AFG,1961,10.771790896790778,84.34896,4.434962479336833,,
1,AFG,1962,10.398490863042332,85.68027,4.450622577395032,-0.3733000337484462,0.015660098058199345
2,AFG,1963,11.448899801091875,85.10826,4.443924093148762,1.050408938049543,-0.006698484246270731
3,AFG,1964,9.657773388820592,89.19177,4.490788770755335,-1.7911264122712822,0.04686467760657376
4,AFG,1965,10.65701037307777,91.71294,4.518663481629804,0.9992369842571769,0.027874710874468356
5,AFG,1966,11.050656712863562,93.25429,4.535330062827641,0.3936463397857928,0.01666658119783726
6,AFG,1967,10.311880042756442,100.4896,4.610054239557374,-0.7387766701071197,0.07472417672973286
7,AFG,1968,10.295933704023225,102.77561,4.632548068061877,-0.015946338733217047,0.0224938285045031
8,AFG,1969,10.056049276941403,104.01564,4.644541272450125,-0.23988442708182234,0.011993204388248024
9,AFG,1970,11.409010587983671,94.21114,4.545538433613625,1.352961311042268,-0.0990028388365003
10,AFG,1971,11.528503511476776,87.22464,4.468486859807227,0.11949292349310525,-0.07705157380639793
11,AFG,1972,8.941270880514923,93.72521,4.540367203216959,-2.5872326309618536,0.07188034340973193
12,AFG,1973,10.572755709137226,102.26063,4.627524750399549,1.6314848286223036,0.08715754718259028
13,AFG,1974,9.833212584669507,102.51955,4.6300535120988,-0.7395431244677191,0.002528761699251092
14,AFG,1975,10.015212394710318,103.10112,4.635710254203483,0.18199981004081067,0.005656742104682699
15,AFG,1976,10.303346889826082,107.51899,4.677667483129529,0.2881344951157647,0.04195722892604614
16,AFG,1977,11.385945145284579,96.17335,4.566152292265559,1.082598255458496,-0.11151519086396977
17,AFG,1978,11.017161386137085,102.64353,4.631262111765871,-0.36878375914749384,0.0651098195003117
18,AFG,1979,10.97262606421855,101.95531,4.624534580019197,-0.044535321918534265,-0.006727531746673954
19,AFG,1980,11.15886238565021,102.0275,4.625242384789745,0.18623632143165914,0.0007078047705482149
20,AFG,1981,11.2861845737751,104.65135,4.650634348952138,0.12732218812489116,0.025391964162392533
21,AFG,1982,10.10770571618763,103.59306,4.64047033916457,-1.1784788575874714,-0.010164009787567707
22,AFG,1983,11.364994303801453,104.18964,4.646212700192094,1.2572885876138233,0.005742361027524012
23,AFG,1984,10.766127698955406,103.5239,4.639802503922391,-0.5988666048460463,-0.006410196269702517
24,AFG,1985,11.324373853167543,100.77929,4.612932878179015,0.5582461542121369,-0.0268696257433767
25,AFG,1986,10.759022420523836,96.63288,4.570919055975644,-0.5653514326437072,-0.04201382220337102
26,AFG,1987,11.450394772270407,99.11931,4.596324276037578,0.6913723517465709,0.02540522006193413
27,AFG,1988,12.017979474247618,101.33035,4.6183859715152495,0.5675847019772107,0.022061695477671783
28,AFG,1989,10.637333764070384,100.36723,4.608835759557065,-1.3806457101772338,-0.009550211958184285
29,AFG,1990,11.535209440076294,107.60765,4.678491741854712,0.8978756760059099,0.0696559822976468
30,AFG,1991,10.957760814777323,113.63549,4.732995869468423,-0.5774486252989703,0.05450412761371126
31,AFG,1992,10.532831321146205,106.05247,4.663933971639981,-0.42492949363111876,-0.0690618978284423
32,AFG,1993,10.710166618387374,102.37571,4.62864947743612,0.1773352972411697,-0.03528449420386082
33,AFG,1994,10.831027003351801,103.39319,4.638539099170406,0.12086038496442697,0.009889621734285647
34,AFG,1995,10.969970032859436,112.73864,4.725072219426509,0.13894302950763482,0.08653312025610305
35,AFG,1996,10.426259601458511,117.96433,4.770382290631804,-0.5437104314009247,0.04531007120529473
36,AFG,1997,10.624038578829117,121.54783,4.800307847867271,0.19777897737060535,0.029925557235467082
37,AFG,1998,10.854394536774139,123.91756,4.8196165057921005,0.23035595794502228,0.01930865792482983
38,AFG,1999,11.810715690495362,119.5613,4.783829210558364,0.9563211537212233,-0.03578729523373614
39,AFG,2000,11.449941778718129,100.57377,4.610891488081725,-0.3607739117772333,-0.17293772247663952
40,AFG,2001,12.071432238689427,82.84315,4.41694906091309,0.621490459971298,-0.19394242716863452
41,AFG,2002,11.853580653016124,98.45226,4.5895717606367885,-0.2178515856733032,0.17262269972369815
42,AFG,2003,11.273076620448832,101.6353,4.621390915745635,-0.5805040325672923,0.03181915510884625
43,AFG,2004,12.252460940026685,93.80202,4.541186390961537,0.9793843195778535,-0.08020452478409812
44,AFG,2005,11.450122257030104,100.0,4.605170185988092,-0.8023386829965808,0.06398379502655516
45,AFG,2006,12.312793887084586,81.12459,4.395986121082361,0.8626716300544821,-0.20918406490573105
46,AFG,2007,11.653928428660704,86.59309,4.461220020237021,-0.6588654584238824,0.06523389915466016
47,AFG,2008,11.879674551987259,89.20172,4.490900321911269,0.2257461233265552,0.029680301674248177
48,AFG,2009,11.721640277882736,105.20166,4.6558790796467955,-0.15803427410452286,0.1649787577355264
49,AFG,2010,12.120777262409774,106.14552,4.664810982830937,0.39913698452703805,0.008931903184141277
50,AFG,2011,11.780158164215438,104.83068,4.6523464771361835,-0.34061909819433644,-0.012464505694753214
51,AFG,2012,10.908288137786473,119.81431,4.785943127629679,-0.8718700264289652,0.13359665049349534
52,AFG,2013,11.995088917799151,114.45464,4.740178587298058,1.0868007800126787,-0.045764540331620474
53,AFG,2014,11.779544914144871,113.10893,4.728351336680669,-0.21554400365427995,-0.011827250617389318
54,AFG,2015,11.85030138446485,105.18652,4.655735155211248,0.0707564703199779,-0.07261618146942084
55,AFG,2016,10.77997331858503,106.23915,4.665692684943106,-1.0703280658798189,0.009957529731857484
56,AGO,1961,22.05923735917359,120.97518,4.795585400589,,
