,Country,Year,Unweighted_Temp,Unweighted_Temp_Change,Burke_Weighted_Temp,Precipitation,Drought,Extreme temperature,Flood,GDP_Change,ln_GDP_Change,TFP,TFP_normalized_by_country,TFP_Change,ln_TFP_Change,ln_Life_Expectancy_change,ASI
4887,IDN,2002,25.60568651,0.15080103000000022,25.71,16.6286869049072,0,0,1,10600000000.0,0.044081981107463974,90.53197,0.40864858477815913,2.664529999999999,0.0298737328574105,0.005616481767473758,
4888,IDN,2003,25.4846433,-0.1210432100000034,25.64,16.6286869049072,1,0,1,11700000000.0,0.04650152297185528,93.00921,0.526544786476713,2.477239999999995,0.0269954725150673,0.00414725560426632,
4889,IDN,2004,25.50685787,0.02221457000000271,25.66,16.6286869049072,0,0,1,13000000000.0,0.049252378182746526,97.5165,0.7410546324964266,4.507289999999998,0.0473230739471706,-0.02497820660003125,
4890,IDN,2005,25.48575751,-0.021100360000001928,25.74,16.6286869049072,0,0,1,15400000000.0,0.05537000104173018,100.0,0.8592487585877054,2.4835000000000065,0.0251485915329707,0.0284729014836671,
4891,IDN,2006,25.43790483,-0.047852679999998315,25.68,16.6286869049072,0,0,1,15700000000.0,0.0534595368055335,109.03075,1.289038009322078,9.030749999999998,0.0864597665472253,0.003909626336796812,
4892,IDN,2007,25.33657598,-0.10132885000000158,25.59,16.6286869049072,0,0,1,19100000000.0,0.06140447056530718,107.58896,1.2204206914009408,-1.4417899999999977,-0.0133119123020852,0.004041062639815074,
4893,IDN,2008,25.09452454,-0.2420514400000009,25.37,16.6286869049072,0,0,1,19300000000.0,0.0584395109111,110.36177,1.352383588428184,2.772810000000007,0.0254457474069571,0.0005424623524881156,
4894,IDN,2009,25.46812105,0.37359651000000227,25.66,16.6286869049072,0,0,1,15800000000.0,0.04542315762152782,112.12317,1.4362117074928822,1.7613999999999947,0.0158342115353473,0.003920426320325632,
4895,IDN,2010,25.54540666,0.07728561000000056,25.66,16.6286869049072,0,0,1,22100000000.0,0.06026083512370661,113.62285,1.507584112170381,1.499679999999998,0.0132866312508959,0.0026973254527487,
4896,IDN,2011,25.19695505,-0.34845161000000147,,16.6286869049072,0,0,1,24500000000.0,0.06281700843008764,114.67002,1.5574207713284256,1.0471699999999942,0.0091739820373,0.0020945157545924076,
4897,IDN,2012,25.33159971,0.1346446599999993,,16.6286869049072,0,0,1,25200000000.0,0.06074156036535783,121.76063,1.8948753525259623,7.090610000000012,0.0599984557492669,0.002177132271601323,
4898,IDN,2013,25.45761649,0.1260167800000005,,16.6286869049072,0,0,1,24700000000.0,0.05615749733290798,122.77816,1.9433013920353877,1.0175299999999936,0.0083220815199611,0.004210167029715883,
4899,IDN,2014,25.4843208,0.02670430999999951,,16.6286869049072,0,0,1,,,123.47685,1.9765532760533926,0.6986899999999991,0.005674539371526,0.003876169323592471,
4900,IDN,2015,25.55788628,0.07356548000000274,,16.6286869049072,1,0,1,,,126.50879,2.120848624819727,3.031940000000006,0.0242581028150441,0.002384510438043108,
4901,IDN,2016,25.87103589,0.31314960999999997,,16.6286869049072,0,0,1,,,126.93192,2.1409861245471293,0.4231300000000004,0.0033390878138002,0.0014193856014239614,
4902,AZE,1960,11.65112385,,,8.90752696990967,0,0,0,,,,,,,,
4903,AZE,1961,12.21249561,0.5613717600000001,,8.90752696990967,0,0,0,,,89.04364,0.7146583000751996,,,0.006337665930137071,
