country,year,unweighted_temp,unweighted_precip,ln_gdp_change,ln_tfp_change
LKA,2001,27.28040775,14.594577232996611,0.0005214,-0.0302538174063587
LKA,2002,27.42816337,16.52189115683238,0.0323057,0.0557227981731625
LKA,2003,27.4566563,15.448747793833418,0.0444746,0.0251482521222623
LKA,2004,27.24622138,17.708301583925884,0.0394474,-0.0265911186188594
LKA,2005,27.35913452,19.02908269564309,0.0498506,0.0618962934538079
LKA,2006,27.19925801,20.12343080838521,0.0630499,0.018394764086973
LKA,2007,27.16198953,15.920908967653917,0.0566846,0.0074111000672054
LKA,2008,27.08402681,19.240088661511734,0.0489545,0.0577591391076773
LKA,2009,27.06235711,15.677701830863954,0.0233183,-0.0064171300074971
LKA,2010,27.22311083,18.308768033981327,0.0672311,0.0650374096678172
LKA,2011,27.00942564,17.614302555720016,0.0688312,-0.0505124708689682
LKA,2012,27.26785247,16.80043661594391,0.0877497,0.0724905637264435
LKA,2013,27.0352095,15.79878854751586,0.0624048,0.0665208953844303
LKA,2014,27.18223063,19.57807040214539,nan,-0.0751999974788768
LKA,2015,27.45566559,nan,nan,0.0457145597086557
LSO,1960,12.06457376,6.5023795068264,nan,nan
LSO,1961,12.23054091,6.177882254123692,0.0011954,nan
LSO,1962,12.36250945,5.391800900300346,0.1247301,-0.0035879026137912
LSO,1963,11.90906938,7.001658846934635,0.0824254,0.006982093986064
LSO,1964,11.8680347,6.2113236089547454,0.0603935,-0.0802936344874761
LSO,1965,12.08697287,4.336472034454345,0.002079,-0.020877019725563
LSO,1966,12.40144229,5.389690513412155,-0.0236769,0.107026663910687
LSO,1967,11.8768792,6.593446229894951,0.0835575,-0.0493989817264451
LSO,1968,11.64416564,4.431515688697501,-0.0239626,-0.0081941081340888
LSO,1969,12.53215675,5.439852625131611,-0.0050606,0.0428562985702579
LSO,1970,12.42179386,4.570705771446231,0.0010505,-0.0854691669962087
LSO,1971,11.57695707,5.337724043677249,0.029463,-0.0124082378325356
LSO,1972,11.67013701,5.907115923861659,-0.0224704,-0.0995942733604211
LSO,1973,11.57964035,5.16602813017865,0.2133815,0.159755257919578
LSO,1974,11.24297464,7.084549722572177,0.082157,0.106629649074601
LSO,1975,11.1140008,6.978300780057906,-0.1686081,-0.101925685487428
LSO,1976,11.04097978,8.302846617996687,0.079976,-0.125569619316559
LSO,1977,11.9330186,6.299987488736711,0.1714233,0.305360044669952
LSO,1978,11.49371386,6.7428407321373625,0.1418085,-0.0777953063560819
LSO,1979,12.03251994,5.678463973104955,0.0022429,-0.0208890483446389
LSO,1980,11.89340293,4.539080972472825,-0.0535432,-0.0198655114037924
LSO,1981,11.43155114,6.582363106310372,-0.0182223,0.0264073730650525
LSO,1982,12.39063915,4.965998181452353,0.0006758,0.0046482527494795
LSO,1983,12.92725114,5.016784278055028,-0.000755,0.0203213277387269
LSO,1984,12.3283304,4.656020676096277,0.0262067,0.0117277923132537
LSO,1985,12.67423928,5.8086834680289074,0.0048819,-0.110435456531021
LSO,1986,12.49894138,6.016801301389929,0.0351866,0.0168484554056505
LSO,1987,12.73030543,6.261402398347855,-0.0166627,-0.0714303883348499
LSO,1988,12.3145597,7.797127534945807,0.066221,0.0594180383419332
LSO,1989,11.9936192,6.089043890436496,0.0370365,0.055646361773074
LSO,1990,12.24261351,4.84285755952199,0.0374802,0.0321325140222166
LSO,1991,12.24448192,6.776960925509539,0.0194743,0.101236262453701
LSO,1992,12.74569249,3.5852705885966625,0.0502993,0.0617510296912442
LSO,1993,12.47944872,5.554843435684841,0.0130246,0.0712920932258125
LSO,1994,11.68132852,4.615891989320517,0.0335539,-0.0937719804041581
LSO,1995,12.12978073,5.7236910896996624,0.0032757,0.195288497916944
LSO,1996,11.35472341,7.298550150046753,0.0364595,-0.114638106083975
LSO,1997,11.6776861,6.334141542514158,0.0274855,0.065004650966145
LSO,1998,12.2835141,6.192586859067284,0.0062884,0.0364290559969369
LSO,1999,12.66657416,5.730533237258598,-0.0058217,-0.0683698589454993
LSO,2000,11.53369351,6.3926384473840345,0.0411351,-0.0124010202776761
LSO,2001,12.35953323,5.754833921790119,0.0332268,0.0226252987275499
LSO,2002,12.6892391,4.581193566322325,-0.0021363,-0.0378648850472878
LSO,2003,12.80356109,4.2568807651599245,0.0388311,-0.0486405090055833
LSO,2004,12.30826249,4.685703322291375,0.0156972,0.0503835360525446
