country,year,drought,extreme_temperature,flood,ln_GDP_change,ln_TFP_change
AGO,2014,0,0,0,,-0.140546896875812
AGO,2015,0,0,1,,-0.0015983423139927
AGO,2016,0,0,1,,
AGO,2017,1,0,1,,
AGO,2018,0,0,1,,
ALB,1960,0,0,0,,
ALB,1961,0,0,0,,
ALB,1962,0,0,0,,0.0422248479347562
ALB,1963,0,0,0,,-0.0210624893484752
ALB,1964,0,0,0,,0.021214422077855
ALB,1965,0,0,0,,-0.0991529476439643
ALB,1966,0,0,0,,0.0387465620122409
ALB,1967,0,0,0,,-0.050563893778337
ALB,1968,0,0,0,,-0.149449272085046
ALB,1969,0,0,0,,0.0256383216290281
ALB,1970,0,0,0,,-0.0331197842067743
ALB,1971,0,0,0,,0.0334605277747331
ALB,1972,0,0,0,,-0.0014648718576584
ALB,1973,0,0,0,,0.0291574202790121
ALB,1974,0,0,0,,-0.027517044108107
ALB,1975,0,0,0,,-0.0289153757993645
ALB,1976,0,0,0,,0.0239532075565538
ALB,1977,0,0,0,,0.0103629995041281
ALB,1978,0,0,0,,-0.0272799093665697
ALB,1979,0,0,0,,0.0259178516724585
ALB,1980,0,0,0,,-0.0205156870788903
ALB,1981,0,0,0,0.0358366,0.0016716885448211
ALB,1982,0,0,0,0.0079269,-0.0042203687923327
ALB,1983,0,0,0,-0.0102201,0.045678664638003
ALB,1984,0,0,0,-0.0336343,-0.0605684784824954
ALB,1985,0,1,0,-0.0029102,6.44327635512809e-05
ALB,1986,0,0,0,0.0355086,-0.0165842139820223
ALB,1987,0,0,0,-0.02788,0.0312367186774374
ALB,1988,0,0,0,-0.0331693,-0.0884500906225583
ALB,1989,1,0,0,0.0669445,0.0741123695139301
ALB,1990,0,0,0,-0.1186473,0.002942752818571
ALB,1991,0,0,0,-0.3447925,0.0458127635892938
ALB,1992,0,0,1,-0.0686592,0.111674377404789
ALB,1993,0,0,0,0.0977688,0.124534006656769
ALB,1994,0,0,0,0.0858738,0.052047356416475
ALB,1995,0,0,1,0.131046,0.0861969686326551
ALB,1996,0,0,0,0.0933098,0.0494794733997059
ALB,1997,0,0,1,-0.1013309,-0.0157916227420625
ALB,1998,0,0,0,0.1258526,-0.0574523741336384
ALB,1999,0,0,0,0.1025524,0.0349282856955213
ALB,2000,0,0,0,0.076832,0.0144169151693694
ALB,2001,0,0,0,0.0757573,0.0100120660291827
ALB,2002,0,0,1,0.0327356,-0.0366005709197452
ALB,2003,0,0,0,0.0612746,0.0820191980255665
ALB,2004,0,1,1,0.0636344,-0.0105754007711791
ALB,2005,0,0,1,0.0608169,0.0559238537635309
ALB,2006,0,0,0,0.0570764,-0.0162460903602355
ALB,2007,0,1,0,0.066514,0.0410682015050687
ALB,2008,0,0,0,0.0838562,0.0677170819744912
ALB,2009,0,0,1,0.042216,0.0378558039243062
ALB,2010,0,0,1,0.044027,0.0321128307008891
