"","ISO3","year","prcp","tmin","tmean","tmax"
"1","AFG",1961,49.3201965629691,10.8355544491307,18.1302626539356,25.4249708587405
"2","AGO",1961,283.244235653448,17.4204880446063,23.2620120539688,29.1035360633312
"3","ALB",1961,113.99361530355,12.0757555554456,18.4055987622729,24.7354419691002
"4","ARE",1961,21.2243467174285,17.6132457047732,23.4477313705626,29.2822170363519
"5","ARG",1961,114.961377749913,12.2228554429217,19.1240402952753,26.0252251476289
"6","ARM",1961,113.987212804158,10.8225458047509,17.7488944877803,24.6752431708096
"7","AUS",1961,108.323378450548,17.6922668127565,24.43846157653,31.1846563403035
"8","AUT",1961,197.259441105319,9.5812148494691,14.6730807450635,19.7649466406579
"9","AZE",1961,92.8160201914118,9.92835550036188,16.1202119918394,22.312068483317
"10","BDI",1961,194.089466910015,14.6038961058083,20.3571972788251,26.110498451842
"11","BEN",1961,281.772055177865,21.3664571118657,26.2597278338458,31.1529985558258
"12","BFA",1961,259.145789187033,21.4536833285645,27.5420244569663,33.6303655853681
"13","BGD",1961,373.420119360712,21.0606205685698,25.4558845497198,29.8511485308697
"14","BGR",1961,113.257857729477,12.375370696338,18.2794829698221,24.1835952433062
"15","BHR",1961,22.60502891325,16.6722465864165,22.9415354767325,29.2108243670485
"16","BHS",1961,151.445443368191,20.548610561535,23.0694399438077,25.5902693260804
"17","BLR",1961,137.810972184482,9.92757222729576,15.2866451015798,20.6457179758638
"18","BLX",1961,146.552587872291,8.83777649749215,13.8688234488636,18.8998704002351
"19","BLZ",1961,133.000253314463,19.3116353509055,24.3851043043071,29.4585732577088
"20","BOL",1961,243.450749863947,16.367345648035,22.2168068273653,28.0662680066957
"21","BRA",1961,406.381730090229,20.7283788866639,25.6266788829899,30.5249788793159
"22","BRN",1961,512.79684220696,22.2531103705525,26.3510620477894,30.4490137250264
"23","BTN",1961,170.337235216141,10.708743542003,16.4219232482237,22.1351029544445
"24","BWA",1961,136.024406351398,18.1209750392082,24.8438575470387,31.5667400548691
"25","CAF",1961,436.792759594195,19.5564223044454,24.7043096398467,29.852196975248
"26","CAN",1961,97.3031515815866,1.75178755378278,6.31517126174481,10.8785549697068
"27","CHE",1961,276.219151550198,8.98065883913881,13.7657662868584,18.550873734578
"28","CHL",1961,73.287956735701,6.58284771156939,12.0063069608519,17.4297662101345
"29","CHN",1961,164.818818260288,9.43440248347038,15.4622373864431,21.4900722894157
"30","CIV",1961,322.149457276853,20.957090156173,25.4720165681568,29.9869429801407
"31","CMR",1961,461.392127703037,19.6463576889307,24.1367104907118,28.6270632924929
"32","COD",1961,263.129279847225,19.2157881359647,24.8367879366649,30.457787737365
"33","COG",1961,297.526970707968,20.868220130449,25.8262282601173,30.7842363897856
"34","COL",1961,560.132227156455,19.6798991102004,24.6219830104256,29.5640669106509
"35","COM",1961,247.407002110877,20.6008568851274,22.9252914243765,25.2497259636255
"36","CPV",1961,127.312573548287,20.7818387279352,22.2300809201892,23.6783231124433
