="",="(1)",=""
="",="growthwdi",=""
="udel_temp_popweight",="0.0102**",="(2.94)"
="udel_temp_popweight_2",="-0.000431***",="(-3.94)"
="udel_precip_popweight",="-4.02e-08",="(-0.00)"
="udel_precip_popweight_2",="-1.25e-09",="(-0.46)"
="1961.year",="0",="(.)"
="1962.year",="0.0148",="(1.75)"
="1963.year",="0.00998",="(1.08)"
="1964.year",="0.0231*",="(2.28)"
="1965.year",="0.0275*",="(2.41)"
="1966.year",="0.0151",="(1.20)"
="1967.year",="0.0148",="(1.07)"
="1968.year",="0.0183",="(1.21)"
="1969.year",="0.0331*",="(2.01)"
="1970.year",="0.0430*",="(2.43)"
="1971.year",="0.0250",="(1.32)"
="1972.year",="0.0227",="(1.13)"
="1973.year",="0.0284",="(1.34)"
="1974.year",="0.0282",="(1.27)"
="1975.year",="-0.00688",="(-0.30)"
="1976.year",="0.0323",="(1.34)"
="1977.year",="0.0164",="(0.66)"
="1978.year",="0.0102",="(0.39)"
="1979.year",="0.0147",="(0.55)"
="1980.year",="0.00899",="(0.33)"
="1981.year",="0.0101",="(0.36)"
="1982.year",="-0.0148",="(-0.53)"
="1983.year",="-0.0114",="(-0.40)"
="1984.year",="0.00147",="(0.05)"
="1985.year",="-0.000707",="(-0.02)"
="1986.year",="0.000242",="(0.01)"
="1987.year",="0.00459",="(0.15)"
="1988.year",="0.0130",="(0.43)"
="1989.year",="0.000821",="(0.03)"
="1990.year",="-0.0107",="(-0.36)"
="1991.year",="-0.0148",="(-0.49)"
="1992.year",="-0.0486",="(-1.63)"
="1993.year",="-0.0311",="(-1.05)"
="1994.year",="-0.0278",="(-0.94)"
="1995.year",="-0.00301",="(-0.10)"
="1996.year",="0.00302",="(0.10)"
="1997.year",="0.0128",="(0.44)"
="1998.year",="-0.00537",="(-0.19)"
="1999.year",="-0.0214",="(-0.76)"
="2000.year",="-0.0115",="(-0.41)"
="2001.year",="-0.0181",="(-0.65)"
="2002.year",="-0.0164",="(-0.60)"
="2003.year",="-0.0255",="(-0.93)"
="2004.year",="-0.00707",="(-0.26)"
="2005.year",="-0.0194",="(-0.72)"
="2006.year",="-0.0164",="(-0.61)"
="2007.year",="-0.0238",="(-0.88)"
="2008.year",="-0.0460",="(-1.69)"
="2009.year",="-0.0840**",="(-3.06)"
="2010.year",="-0.0416",="(-1.49)"
="_yi_isoxtim_2",="0",="(.)"
="_yi_isoxtim_3",="-0.0507",="(-0.13)"
="_yi_isoxtim_4",="0",="(.)"
="_yi_isoxtim_5",="-0.00390",="(-0.49)"
="_yi_isoxtim_6",="0.0106*",="(1.97)"
="_yi_isoxtim_7",="-0.00243",="(-0.69)"
="_yi_isoxtim_8",="0.225***",="(6.52)"
="_yi_isoxtim_9",="0",="(.)"
="_yi_isoxtim_10",="0",="(.)"
="_yi_isoxtim_11",="-0.000864",="(-0.32)"
="_yi_isoxtim_12",="0.141***",="(4.16)"
="_yi_isoxtim_13",="-0.000489",="(-0.19)"
="_yi_isoxtim_14",="0",="(.)"
="_yi_isoxtim_15",="-0.000584",="(-0.21)"
="_yi_isoxtim_16",="-0.000512",="(-0.16)"
="_yi_isoxtim_17",="-0.000880",="(-0.33)"
="_yi_isoxtim_18",="0",="(.)"
="_yi_isoxtim_19",="0",="(.)"
="_yi_isoxtim_20",="0",="(.)"
="_yi_isoxtim_21",="0",="(.)"
="_yi_isoxtim_22",="0.0561*",="(2.33)"
="_yi_isoxtim_23",="0.00259",="(0.83)"
="_yi_isoxtim_24",="0",="(.)"
="_yi_isoxtim_25",="-0.00297",="(-0.95)"
="_yi_isoxtim_26",="0",="(.)"
="_yi_isoxtim_27",="0",="(.)"
="_yi_isoxtim_28",="0",="(.)"
="_yi_isoxtim_29",="-0.00916",="(-0.83)"
="_yi_isoxtim_30",="0.00185",="(0.57)"
="_yi_isoxtim_31",="-0.00347",="(-1.09)"
="_yi_isoxtim_32",="-0.00124",="(-0.50)"
="_yi_isoxtim_33",="0.00106",="(0.27)"
="_yi_isoxtim_34",="0",="(.)"
="_yi_isoxtim_35",="0",="(.)"
="_yi_isoxtim_36",="0",="(.)"
="_yi_isoxtim_37",="-0.00613",="(-1.89)"
="_yi_isoxtim_38",="0",="(.)"
="_yi_isoxtim_39",="0",="(.)"
="_yi_isoxtim_40",="-0.000945",="(-0.35)"
="_yi_isoxtim_41",="0",="(.)"
="_yi_isoxtim_42",="0",="(.)"
="_yi_isoxtim_43",="0.0104",="(0.93)"
="_yi_isoxtim_44",="-0.000288",="(-0.09)"
