="",="(1)",=""
="",="growthwdi",=""
="udel_temp_popweight",="0.0177***",="(5.36)"
="udel_temp_popweight_2",="-0.000582***",="(-5.36)"
="udel_precip_popweight",="0.0000104",="(0.89)"
="udel_precip_popweight_2",="-3.31e-09",="(-1.15)"
="1961.year",="0",="(.)"
="1962.year",="0.00408",="(0.44)"
="1963.year",="-0.000459",="(-0.05)"
="1964.year",="0.0136",="(1.27)"
="1965.year",="0.0162",="(1.35)"
="1966.year",="0.0115",="(0.87)"
="1967.year",="0.00769",="(0.53)"
="1968.year",="0.00808",="(0.51)"
="1969.year",="0.0179",="(1.05)"
="1970.year",="0.0279",="(1.52)"
="1971.year",="0.0130",="(0.67)"
="1972.year",="0.00990",="(0.48)"
="1973.year",="0.0223",="(1.02)"
="1974.year",="0.0190",="(0.83)"
="1975.year",="-0.0105",="(-0.44)"
="1976.year",="0.0260",="(1.05)"
="1977.year",="0.00615",="(0.24)"
="1978.year",="0.00685",="(0.26)"
="1979.year",="0.0126",="(0.47)"
="1980.year",="-0.0103",="(-0.37)"
="1981.year",="-0.00273",="(-0.10)"
="1982.year",="-0.0253",="(-0.87)"
="1983.year",="-0.0226",="(-0.77)"
="1984.year",="-0.00527",="(-0.18)"
="1985.year",="-0.00779",="(-0.26)"
="1986.year",="-0.00245",="(-0.08)"
="1987.year",="-0.00176",="(-0.06)"
="1988.year",="0.00253",="(0.08)"
="1989.year",="-0.0105",="(-0.34)"
="1990.year",="-0.0326",="(-1.06)"
="1991.year",="-0.0323",="(-1.05)"
="1992.year",="-0.0531",="(-1.74)"
="1993.year",="-0.0393",="(-1.29)"
="1994.year",="-0.0321",="(-1.06)"
="1995.year",="-0.00937",="(-0.31)"
="1996.year",="0.00365",="(0.12)"
="1997.year",="0.00972",="(0.33)"
="1998.year",="-0.0165",="(-0.56)"
="1999.year",="-0.0218",="(-0.75)"
="2000.year",="-0.0221",="(-0.77)"
="2001.year",="-0.0234",="(-0.83)"
="2002.year",="-0.0320",="(-1.14)"
="2003.year",="-0.0412",="(-1.48)"
="2004.year",="-0.0193",="(-0.70)"
="2005.year",="-0.0248",="(-0.90)"
="2006.year",="-0.0264",="(-0.96)"
="2007.year",="-0.0308",="(-1.11)"
="2008.year",="-0.0511",="(-1.84)"
="2009.year",="-0.0921**",="(-3.27)"
="2010.year",="-0.0570*",="(-1.99)"
="_yi_isoxtim_2",="0",="(.)"
="_yi_isoxtim_3",="-0.113",="(-0.28)"
="_yi_isoxtim_4",="-0.0141",="(-0.76)"
="_yi_isoxtim_5",="-0.00501",="(-0.44)"
="_yi_isoxtim_6",="0.0104",="(1.41)"
="_yi_isoxtim_7",="0",="(.)"
="_yi_isoxtim_8",="0.222***",="(6.28)"
="_yi_isoxtim_9",="0",="(.)"
="_yi_isoxtim_10",="0",="(.)"
="_yi_isoxtim_11",="-0.000877",="(-0.33)"
="_yi_isoxtim_12",="0.138***",="(6.81)"
="_yi_isoxtim_13",="-0.000503",="(-0.15)"
="_yi_isoxtim_14",="-0.00120",="(-0.43)"
="_yi_isoxtim_15",="0",="(.)"
="_yi_isoxtim_16",="-0.000401",="(-0.15)"
="_yi_isoxtim_17",="-0.000847",="(-0.27)"
="_yi_isoxtim_18",="-0.0160",="(-1.43)"
="_yi_isoxtim_19",="0",="(.)"
="_yi_isoxtim_20",="-0.000153",="(-0.05)"
="_yi_isoxtim_21",="-0.303***",="(-4.73)"
="_yi_isoxtim_22",="0",="(.)"
="_yi_isoxtim_23",="0",="(.)"
="_yi_isoxtim_24",="0",="(.)"
="_yi_isoxtim_25",="0",="(.)"
="_yi_isoxtim_26",="-0.00235",="(-0.85)"
="_yi_isoxtim_27",="0",="(.)"
="_yi_isoxtim_28",="0",="(.)"
="_yi_isoxtim_29",="0",="(.)"
="_yi_isoxtim_30",="0",="(.)"
="_yi_isoxtim_31",="0",="(.)"
="_yi_isoxtim_32",="-0.00137",="(-0.50)"
="_yi_isoxtim_33",="0.000587",="(0.11)"
="_yi_isoxtim_34",="0",="(.)"
="_yi_isoxtim_35",="0",="(.)"
="_yi_isoxtim_36",="0",="(.)"
="_yi_isoxtim_37",="-0.00616",="(-1.86)"
="_yi_isoxtim_38",="0",="(.)"
="_yi_isoxtim_39",="0",="(.)"
="_yi_isoxtim_40",="0",="(.)"
="_yi_isoxtim_41",="-0.000793",="(-0.25)"
="_yi_isoxtim_42",="-0.00910",="(-0.80)"
="_yi_isoxtim_43",="0",="(.)"
="_yi_isoxtim_44",="0",="(.)"
="_yi_isoxtim_45",="0",="(.)"
