="",="(1)",=""
="",="growthwdi",=""
="udel_temp_popweight",="0.0132***",="(4.54)"
="udel_temp_popweight_2",="-0.000440***",="(-4.71)"
="udel_precip_popweight",="-0.00000236",="(-0.23)"
="udel_precip_popweight_2",="-5.52e-10",="(-0.19)"
="1961.year",="0",="(.)"
="1962.year",="-0.00326",="(-0.42)"
="1963.year",="0.00361",="(0.43)"
="1964.year",="0.0158",="(1.69)"
="1965.year",="0.00986",="(0.94)"
="1966.year",="-0.00359",="(-0.31)"
="1967.year",="-0.00486",="(-0.38)"
="1968.year",="0.00619",="(0.45)"
="1969.year",="0.0206",="(1.36)"
="1970.year",="0.0257",="(1.57)"
="1971.year",="0.0114",="(0.65)"
="1972.year",="0.0166",="(0.90)"
="1973.year",="0.0186",="(0.95)"
="1974.year",="0.0266",="(1.29)"
="1975.year",="-0.00538",="(-0.25)"
="1976.year",="0.0282",="(1.26)"
="1977.year",="0.00920",="(0.40)"
="1978.year",="0.00183",="(0.08)"
="1979.year",="0.0133",="(0.54)"
="1980.year",="-0.00286",="(-0.11)"
="1981.year",="-0.00846",="(-0.33)"
="1982.year",="-0.0279",="(-1.07)"
="1983.year",="-0.0262",="(-0.99)"
="1984.year",="-0.00950",="(-0.35)"
="1985.year",="-0.0127",="(-0.47)"
="1986.year",="-0.0102",="(-0.37)"
="1987.year",="-0.00934",="(-0.34)"
="1988.year",="-0.00202",="(-0.07)"
="1989.year",="-0.0177",="(-0.64)"
="1990.year",="-0.0211",="(-0.76)"
="1991.year",="-0.0259",="(-0.93)"
="1992.year",="-0.0542",="(-1.96)"
="1993.year",="-0.0402",="(-1.46)"
="1994.year",="-0.0192",="(-0.70)"
="1995.year",="-0.0108",="(-0.40)"
="1996.year",="-0.00602",="(-0.22)"
="1997.year",="-0.00896",="(-0.33)"
="1998.year",="-0.0243",="(-0.92)"
="1999.year",="-0.0353",="(-1.35)"
="2000.year",="-0.0247",="(-0.95)"
="2001.year",="-0.0327",="(-1.27)"
="2002.year",="-0.0406",="(-1.59)"
="2003.year",="-0.0339",="(-1.34)"
="2004.year",="-0.0213",="(-0.85)"
="2005.year",="-0.0311",="(-1.24)"
="2006.year",="-0.0260",="(-1.04)"
="2007.year",="-0.0328",="(-1.31)"
="2008.year",="-0.0534*",="(-2.12)"
="2009.year",="-0.0984***",="(-3.86)"
="2010.year",="-0.0489",="(-1.89)"
="_yi_isoxtim_2",="0",="(.)"
="_yi_isoxtim_3",="0",="(.)"
="_yi_isoxtim_4",="0",="(.)"
="_yi_isoxtim_5",="0",="(.)"
="_yi_isoxtim_6",="0.0119*",="(2.38)"
="_yi_isoxtim_7",="-0.00283",="(-1.04)"
="_yi_isoxtim_8",="0.233***",="(7.26)"
="_yi_isoxtim_9",="0",="(.)"
="_yi_isoxtim_10",="-0.000184",="(-0.07)"
="_yi_isoxtim_11",="0",="(.)"
="_yi_isoxtim_12",="0.149***",="(6.63)"
="_yi_isoxtim_13",="-0.000531",="(-0.17)"
="_yi_isoxtim_14",="-0.00124",="(-0.52)"
="_yi_isoxtim_15",="0",="(.)"
="_yi_isoxtim_16",="-0.000578",="(-0.20)"
="_yi_isoxtim_17",="-0.000931",="(-0.32)"
="_yi_isoxtim_18",="0",="(.)"
="_yi_isoxtim_19",="0",="(.)"
="_yi_isoxtim_20",="0",="(.)"
="_yi_isoxtim_21",="0",="(.)"
="_yi_isoxtim_22",="0.0641*",="(2.04)"
="_yi_isoxtim_23",="0.00248",="(0.99)"
="_yi_isoxtim_24",="0",="(.)"
="_yi_isoxtim_25",="0",="(.)"
="_yi_isoxtim_26",="-0.00241",="(-1.02)"
="_yi_isoxtim_27",="0",="(.)"
="_yi_isoxtim_28",="0",="(.)"
="_yi_isoxtim_29",="0",="(.)"
="_yi_isoxtim_30",="0.00185",="(0.62)"
="_yi_isoxtim_31",="-0.00344",="(-1.17)"
="_yi_isoxtim_32",="-0.00133",="(-0.46)"
="_yi_isoxtim_33",="0.00163",="(0.35)"
="_yi_isoxtim_34",="0",="(.)"
="_yi_isoxtim_35",="0.00189",="(0.63)"
="_yi_isoxtim_36",="0",="(.)"
="_yi_isoxtim_37",="-0.00625*",="(-2.07)"
="_yi_isoxtim_38",="-0.0000997",="(-0.04)"
="_yi_isoxtim_39",="0",="(.)"
="_yi_isoxtim_40",="-0.000966",="(-0.38)"
="_yi_isoxtim_41",="-0.000823",="(-0.33)"
="_yi_isoxtim_42",="-0.00995",="(-0.96)"
="_yi_isoxtim_43",="0.00954",="(1.28)"
