="",="(1)",=""
="",="growthwdi",=""
="udel_temp_popweight",="0.0106***",="(3.38)"
="udel_temp_popweight_2",="-0.000516***",="(-5.14)"
="udel_precip_popweight",="0.00000901",="(0.76)"
="udel_precip_popweight_2",="-3.96e-09",="(-1.19)"
="1961.year",="0",="(.)"
="1962.year",="-0.00343",="(-0.41)"
="1963.year",="0.00298",="(0.33)"
="1964.year",="0.0234*",="(2.29)"
="1965.year",="0.0246*",="(2.17)"
="1966.year",="0.00443",="(0.36)"
="1967.year",="0.00703",="(0.51)"
="1968.year",="0.00917",="(0.62)"
="1969.year",="0.0257",="(1.58)"
="1970.year",="0.0235",="(1.34)"
="1971.year",="0.0114",="(0.61)"
="1972.year",="0.0263",="(1.33)"
="1973.year",="0.0171",="(0.82)"
="1974.year",="0.0187",="(0.85)"
="1975.year",="-0.0111",="(-0.48)"
="1976.year",="0.0253",="(1.06)"
="1977.year",="0.00818",="(0.33)"
="1978.year",="0.0103",="(0.41)"
="1979.year",="0.0125",="(0.48)"
="1980.year",="0.00220",="(0.08)"
="1981.year",="0.000465",="(0.02)"
="1982.year",="-0.0164",="(-0.59)"
="1983.year",="-0.0178",="(-0.63)"
="1984.year",="-0.00719",="(-0.25)"
="1985.year",="-0.00326",="(-0.11)"
="1986.year",="-0.00393",="(-0.13)"
="1987.year",="-0.00761",="(-0.26)"
="1988.year",="0.00145",="(0.05)"
="1989.year",="-0.0138",="(-0.47)"
="1990.year",="-0.0194",="(-0.66)"
="1991.year",="-0.0280",="(-0.95)"
="1992.year",="-0.0444",="(-1.51)"
="1993.year",="-0.0425",="(-1.45)"
="1994.year",="-0.0288",="(-0.99)"
="1995.year",="-0.00805",="(-0.28)"
="1996.year",="0.00363",="(0.13)"
="1997.year",="-0.00230",="(-0.08)"
="1998.year",="-0.00834",="(-0.30)"
="1999.year",="-0.0229",="(-0.82)"
="2000.year",="-0.0208",="(-0.76)"
="2001.year",="-0.0183",="(-0.67)"
="2002.year",="-0.0290",="(-1.07)"
="2003.year",="-0.0289",="(-1.08)"
="2004.year",="-0.0114",="(-0.43)"
="2005.year",="-0.0208",="(-0.78)"
="2006.year",="-0.0190",="(-0.72)"
="2007.year",="-0.0272",="(-1.02)"
="2008.year",="-0.0515",="(-1.92)"
="2009.year",="-0.0884**",="(-3.27)"
="2010.year",="-0.0510",="(-1.85)"
="_yi_isoxtim_2",="0",="(.)"
="_yi_isoxtim_3",="-0.0924",="(-0.24)"
="_yi_isoxtim_4",="-0.0155",="(-0.87)"
="_yi_isoxtim_5",="-0.00390",="(-0.36)"
="_yi_isoxtim_6",="0",="(.)"
="_yi_isoxtim_7",="-0.00237",="(-0.68)"
="_yi_isoxtim_8",="0",="(.)"
="_yi_isoxtim_9",="0",="(.)"
="_yi_isoxtim_10",="-0.000225",="(-0.07)"
="_yi_isoxtim_11",="-0.000887",="(-0.36)"
="_yi_isoxtim_12",="0.140***",="(4.20)"
="_yi_isoxtim_13",="-0.000369",="(-0.11)"
="_yi_isoxtim_14",="-0.00117",="(-0.38)"
="_yi_isoxtim_15",="-0.000726",="(-0.29)"
="_yi_isoxtim_16",="-0.000404",="(-0.15)"
="_yi_isoxtim_17",="0",="(.)"
="_yi_isoxtim_18",="-0.0154**",="(-2.66)"
="_yi_isoxtim_19",="0",="(.)"
="_yi_isoxtim_20",="-0.0000131",="(-0.00)"
="_yi_isoxtim_21",="-0.308***",="(-7.04)"
="_yi_isoxtim_22",="0",="(.)"
="_yi_isoxtim_23",="0.00273",="(0.89)"
="_yi_isoxtim_24",="0",="(.)"
="_yi_isoxtim_25",="-0.00306",="(-1.00)"
="_yi_isoxtim_26",="-0.00237",="(-0.89)"
="_yi_isoxtim_27",="0",="(.)"
="_yi_isoxtim_28",="0",="(.)"
="_yi_isoxtim_29",="-0.00983",="(-0.90)"
="_yi_isoxtim_30",="0",="(.)"
="_yi_isoxtim_31",="-0.00372",="(-1.38)"
="_yi_isoxtim_32",="-0.00123",="(-0.40)"
="_yi_isoxtim_33",="0.00115",="(0.23)"
="_yi_isoxtim_34",="0",="(.)"
="_yi_isoxtim_35",="0",="(.)"
="_yi_isoxtim_36",="0.00669*",="(2.51)"
="_yi_isoxtim_37",="-0.00625",="(-1.96)"
="_yi_isoxtim_38",="-0.000184",="(-0.07)"
="_yi_isoxtim_39",="0",="(.)"
="_yi_isoxtim_40",="-0.000994",="(-0.32)"
="_yi_isoxtim_41",="-0.000868",="(-0.28)"
="_yi_isoxtim_42",="-0.00849",="(-0.77)"
