="",="(1)",=""
="",="growthwdi",=""
="udel_temp_popweight",="0.0132***",="(3.56)"
="udel_temp_popweight_2",="-0.000419***",="(-3.84)"
="udel_precip_popweight",="0.0000178",="(1.65)"
="udel_precip_popweight_2",="-6.84e-09**",="(-2.69)"
="1961.year",="0",="(.)"
="1962.year",="-0.0253**",="(-2.92)"
="1963.year",="-0.0208*",="(-2.28)"
="1964.year",="0.00580",="(0.61)"
="1965.year",="-0.00994",="(-0.98)"
="1966.year",="-0.0234*",="(-2.19)"
="1967.year",="-0.0394***",="(-3.42)"
="1968.year",="-0.0306*",="(-2.49)"
="1969.year",="-0.0305*",="(-2.33)"
="1970.year",="-0.0143",="(-1.03)"
="1971.year",="-0.0335*",="(-2.30)"
="1972.year",="-0.0321*",="(-2.10)"
="1973.year",="-0.0467**",="(-2.91)"
="1974.year",="-0.0405*",="(-2.43)"
="1975.year",="-0.0699***",="(-4.03)"
="1976.year",="-0.0407*",="(-2.27)"
="1977.year",="-0.0576**",="(-3.11)"
="1978.year",="-0.0591**",="(-3.10)"
="1979.year",="-0.0449*",="(-2.30)"
="1980.year",="-0.0712***",="(-3.58)"
="1981.year",="-0.0743***",="(-3.67)"
="1982.year",="-0.0974***",="(-4.74)"
="1983.year",="-0.0918***",="(-4.40)"
="1984.year",="-0.0770***",="(-3.64)"
="1985.year",="-0.0797***",="(-3.73)"
="1986.year",="-0.0730***",="(-3.39)"
="1987.year",="-0.0632**",="(-2.91)"
="1988.year",="-0.0592**",="(-2.72)"
="1989.year",="-0.0664**",="(-3.05)"
="1990.year",="-0.0826***",="(-3.79)"
="1991.year",="-0.0857***",="(-3.94)"
="1992.year",="-0.0951***",="(-4.39)"
="1993.year",="-0.0863***",="(-3.99)"
="1994.year",="-0.0697**",="(-3.24)"
="1995.year",="-0.0514*",="(-2.41)"
="1996.year",="-0.0356",="(-1.68)"
="1997.year",="-0.0298",="(-1.42)"
="1998.year",="-0.0423*",="(-2.02)"
="1999.year",="-0.0454*",="(-2.20)"
="2000.year",="-0.0365",="(-1.78)"
="2001.year",="-0.0395",="(-1.95)"
="2002.year",="-0.0374",="(-1.86)"
="2003.year",="-0.0247",="(-1.24)"
="2004.year",="-0.00853",="(-0.43)"
="2005.year",="-0.0135",="(-0.68)"
="2006.year",="0.00274",="(0.14)"
="2007.year",="0.000669",="(0.03)"
="2008.year",="-0.0111",="(-0.56)"
="2009.year",="-0.0441*",="(-2.19)"
="2010.year",="0.00620",="(0.30)"
="_yi_isoxtim_2",="0",="(.)"
="_yi_isoxtim_3",="-0.0371",="(-0.10)"
="_yi_isoxtim_4",="0",="(.)"
="_yi_isoxtim_5",="0.000921",="(0.09)"
="_yi_isoxtim_6",="0.0179*",="(2.57)"
="_yi_isoxtim_7",="0.00387",="(1.24)"
="_yi_isoxtim_8",="0",="(.)"
="_yi_isoxtim_9",="0",="(.)"
="_yi_isoxtim_10",="0.00630*",="(2.30)"
="_yi_isoxtim_11",="0.00561*",="(2.05)"
="_yi_isoxtim_12",="0",="(.)"
="_yi_isoxtim_13",="0",="(.)"
="_yi_isoxtim_14",="0",="(.)"
="_yi_isoxtim_15",="0.00614*",="(2.27)"
="_yi_isoxtim_16",="0",="(.)"
="_yi_isoxtim_17",="0.00566*",="(2.12)"
="_yi_isoxtim_18",="-0.0100",="(-0.94)"
="_yi_isoxtim_19",="0",="(.)"
="_yi_isoxtim_20",="0.00620*",="(2.22)"
="_yi_isoxtim_21",="-0.297***",="(-4.80)"
="_yi_isoxtim_22",="0.0650",="(1.95)"
="_yi_isoxtim_23",="0.00899***",="(4.12)"
="_yi_isoxtim_24",="0",="(.)"
="_yi_isoxtim_25",="0.00347",="(1.30)"
="_yi_isoxtim_26",="0",="(.)"
="_yi_isoxtim_27",="0",="(.)"
="_yi_isoxtim_28",="0.000241",="(0.06)"
="_yi_isoxtim_29",="-0.00430",="(-0.67)"
="_yi_isoxtim_30",="0.00861**",="(3.08)"
="_yi_isoxtim_31",="0",="(.)"
="_yi_isoxtim_32",="0.00513",="(1.93)"
="_yi_isoxtim_33",="0",="(.)"
="_yi_isoxtim_34",="0",="(.)"
="_yi_isoxtim_35",="0.00828**",="(2.96)"
="_yi_isoxtim_36",="0.0132***",="(6.93)"
="_yi_isoxtim_37",="0",="(.)"
="_yi_isoxtim_38",="0.00644*",="(2.35)"
="_yi_isoxtim_39",="0",="(.)"
="_yi_isoxtim_40",="0.00548*",="(2.04)"
="_yi_isoxtim_41",="0.00568*",="(2.13)"
="_yi_isoxtim_42",="0",="(.)"
