="",="(1)",=""
="",="growthwdi",=""
="udel_temp_popweight",="0.0159***",="(5.06)"
="udel_temp_popweight_2",="-0.000566***",="(-5.58)"
="udel_precip_popweight",="0.0000164",="(1.52)"
="udel_precip_popweight_2",="-3.56e-09",="(-1.31)"
="1961.year",="0",="(.)"
="1962.year",="-0.00568",="(-0.67)"
="1963.year",="0.00908",="(1.02)"
="1964.year",="0.0265**",="(2.88)"
="1965.year",="0.0224*",="(2.37)"
="1966.year",="0.00195",="(0.20)"
="1967.year",="0.00167",="(0.16)"
="1968.year",="0.0106",="(0.97)"
="1969.year",="0.0239*",="(2.10)"
="1970.year",="0.0240*",="(1.99)"
="1971.year",="0.00286",="(0.23)"
="1972.year",="0.0167",="(1.29)"
="1973.year",="0.00810",="(0.60)"
="1974.year",="0.0152",="(1.08)"
="1975.year",="-0.0113",="(-0.78)"
="1976.year",="0.0191",="(1.28)"
="1977.year",="0.00113",="(0.07)"
="1978.year",="0.0134",="(0.86)"
="1979.year",="0.00959",="(0.60)"
="1980.year",="-0.00174",="(-0.11)"
="1981.year",="0.00484",="(0.29)"
="1982.year",="-0.0158",="(-0.94)"
="1983.year",="-0.0183",="(-1.08)"
="1984.year",="-0.00182",="(-0.11)"
="1985.year",="-0.00206",="(-0.12)"
="1986.year",="-0.00460",="(-0.26)"
="1987.year",="-0.00540",="(-0.31)"
="1988.year",="0.000905",="(0.05)"
="1989.year",="-0.0157",="(-0.89)"
="1990.year",="-0.0216",="(-1.22)"
="1991.year",="-0.0303",="(-1.72)"
="1992.year",="-0.0528**",="(-3.01)"
="1993.year",="-0.0402*",="(-2.30)"
="1994.year",="-0.0235",="(-1.35)"
="1995.year",="-0.00412",="(-0.24)"
="1996.year",="0.00316",="(0.18)"
="1997.year",="-0.00345",="(-0.20)"
="1998.year",="-0.0178",="(-1.05)"
="1999.year",="-0.0273",="(-1.63)"
="2000.year",="-0.0255",="(-1.54)"
="2001.year",="-0.0252",="(-1.53)"
="2002.year",="-0.0345*",="(-2.11)"
="2003.year",="-0.0327*",="(-2.01)"
="2004.year",="-0.0168",="(-1.04)"
="2005.year",="-0.0248",="(-1.54)"
="2006.year",="-0.0237",="(-1.48)"
="2007.year",="-0.0290",="(-1.80)"
="2008.year",="-0.0523**",="(-3.23)"
="2009.year",="-0.0907***",="(-5.53)"
="2010.year",="-0.0477**",="(-2.85)"
="_yi_isoxtim_2",="0",="(.)"
="_yi_isoxtim_3",="0",="(.)"
="_yi_isoxtim_4",="-0.0126",="(-0.72)"
="_yi_isoxtim_5",="-0.00226",="(-0.22)"
="_yi_isoxtim_6",="0",="(.)"
="_yi_isoxtim_7",="-0.00274",="(-0.94)"
="_yi_isoxtim_8",="0.227***",="(9.65)"
="_yi_isoxtim_9",="0",="(.)"
="_yi_isoxtim_10",="0",="(.)"
="_yi_isoxtim_11",="0",="(.)"
="_yi_isoxtim_12",="0",="(.)"
="_yi_isoxtim_13",="0",="(.)"
="_yi_isoxtim_14",="-0.00113",="(-0.65)"
="_yi_isoxtim_15",="0",="(.)"
="_yi_isoxtim_16",="0",="(.)"
="_yi_isoxtim_17",="-0.000892",="(-0.36)"
="_yi_isoxtim_18",="0",="(.)"
="_yi_isoxtim_19",="0",="(.)"
="_yi_isoxtim_20",="-0.000242",="(-0.12)"
="_yi_isoxtim_21",="0",="(.)"
="_yi_isoxtim_22",="0.0591",="(1.82)"
="_yi_isoxtim_23",="0.00254",="(1.04)"
="_yi_isoxtim_24",="0",="(.)"
="_yi_isoxtim_25",="-0.00312",="(-1.61)"
="_yi_isoxtim_26",="0",="(.)"
="_yi_isoxtim_27",="0",="(.)"
="_yi_isoxtim_28",="0",="(.)"
="_yi_isoxtim_29",="-0.00764",="(-0.73)"
="_yi_isoxtim_30",="0",="(.)"
="_yi_isoxtim_31",="-0.00358",="(-1.81)"
="_yi_isoxtim_32",="-0.00134",="(-0.55)"
="_yi_isoxtim_33",="0",="(.)"
="_yi_isoxtim_34",="0",="(.)"
="_yi_isoxtim_35",="0",="(.)"
="_yi_isoxtim_36",="0.00675**",="(2.74)"
="_yi_isoxtim_37",="-0.00605**",="(-2.97)"
="_yi_isoxtim_38",="-0.0000561",="(-0.02)"
="_yi_isoxtim_39",="0",="(.)"
="_yi_isoxtim_40",="-0.000981",="(-0.40)"
="_yi_isoxtim_41",="-0.000766",="(-0.31)"
="_yi_isoxtim_42",="-0.00662",="(-0.87)"
="_yi_isoxtim_43",="0.0119",="(1.12)"
="_yi_isoxtim_44",="0",="(.)"
