="",="(1)",=""
="",="growthwdi",=""
="udel_temp_popweight",="0.0130***",="(4.35)"
="udel_temp_popweight_2",="-0.000630***",="(-6.38)"
="udel_precip_popweight",="0.00000627",="(0.65)"
="udel_precip_popweight_2",="-2.89e-09",="(-1.26)"
="1961.year",="0",="(.)"
="1962.year",="0.0157",="(1.86)"
="1963.year",="-0.00626",="(-0.69)"
="1964.year",="0.00834",="(0.83)"
="1965.year",="-0.000765",="(-0.07)"
="1966.year",="-0.00503",="(-0.41)"
="1967.year",="0.00910",="(0.68)"
="1968.year",="0.0176",="(1.20)"
="1969.year",="0.0146",="(0.92)"
="1970.year",="0.0156",="(0.91)"
="1971.year",="-0.00956",="(-0.53)"
="1972.year",="0.000969",="(0.05)"
="1973.year",="-0.00711",="(-0.35)"
="1974.year",="-0.0116",="(-0.55)"
="1975.year",="-0.0199",="(-0.90)"
="1976.year",="0.00449",="(0.19)"
="1977.year",="-0.0147",="(-0.62)"
="1978.year",="-0.0209",="(-0.85)"
="1979.year",="-0.00767",="(-0.30)"
="1980.year",="-0.0369",="(-1.42)"
="1981.year",="-0.0237",="(-0.89)"
="1982.year",="-0.0439",="(-1.63)"
="1983.year",="-0.0311",="(-1.14)"
="1984.year",="-0.0185",="(-0.67)"
="1985.year",="-0.0186",="(-0.67)"
="1986.year",="-0.0160",="(-0.57)"
="1987.year",="-0.0148",="(-0.52)"
="1988.year",="0.00238",="(0.08)"
="1989.year",="-0.0143",="(-0.50)"
="1990.year",="-0.0186",="(-0.65)"
="1991.year",="-0.0247",="(-0.87)"
="1992.year",="-0.0402",="(-1.42)"
="1993.year",="-0.0293",="(-1.04)"
="1994.year",="-0.0164",="(-0.58)"
="1995.year",="0.0115",="(0.41)"
="1996.year",="0.0157",="(0.57)"
="1997.year",="0.0166",="(0.61)"
="1998.year",="0.0190",="(0.70)"
="1999.year",="0.00892",="(0.33)"
="2000.year",="0.0189",="(0.71)"
="2001.year",="0.0224",="(0.85)"
="2002.year",="0.0192",="(0.74)"
="2003.year",="0.0319",="(1.24)"
="2004.year",="0.0480",="(1.88)"
="2005.year",="0.0474",="(1.86)"
="2006.year",="0.0563*",="(2.22)"
="2007.year",="0.0577*",="(2.27)"
="2008.year",="0.0430",="(1.68)"
="2009.year",="0.00678",="(0.26)"
="2010.year",="0.0572*",="(2.16)"
="_yi_isoxtim_2",="0",="(.)"
="_yi_isoxtim_3",="-0.0740",="(-0.39)"
="_yi_isoxtim_4",="-0.00881",="(-0.50)"
="_yi_isoxtim_5",="0",="(.)"
="_yi_isoxtim_6",="0",="(.)"
="_yi_isoxtim_7",="0.00144",="(0.43)"
="_yi_isoxtim_8",="0.232***",="(6.99)"
="_yi_isoxtim_9",="0",="(.)"
="_yi_isoxtim_10",="0.00388",="(1.27)"
="_yi_isoxtim_11",="0.00310",="(1.18)"
="_yi_isoxtim_12",="0",="(.)"
="_yi_isoxtim_13",="0.00392",="(1.57)"
="_yi_isoxtim_14",="0",="(.)"
="_yi_isoxtim_15",="0.00298",="(1.14)"
="_yi_isoxtim_16",="0",="(.)"
="_yi_isoxtim_17",="0",="(.)"
="_yi_isoxtim_18",="0",="(.)"
="_yi_isoxtim_19",="0",="(.)"
="_yi_isoxtim_20",="0.00399",="(1.29)"
="_yi_isoxtim_21",="0",="(.)"
="_yi_isoxtim_22",="0.0632**",="(2.73)"
="_yi_isoxtim_23",="0",="(.)"
="_yi_isoxtim_24",="0",="(.)"
="_yi_isoxtim_25",="0.000773",="(0.26)"
="_yi_isoxtim_26",="0",="(.)"
="_yi_isoxtim_27",="0",="(.)"
="_yi_isoxtim_28",="-0.00101",="(-0.20)"
="_yi_isoxtim_29",="0",="(.)"
="_yi_isoxtim_30",="0.00574",="(1.86)"
="_yi_isoxtim_31",="0.000115",="(0.04)"
="_yi_isoxtim_32",="0.00261",="(1.07)"
="_yi_isoxtim_33",="0",="(.)"
="_yi_isoxtim_34",="0",="(.)"
="_yi_isoxtim_35",="0.00594",="(1.92)"
="_yi_isoxtim_36",="0",="(.)"
="_yi_isoxtim_37",="-0.00235",="(-0.94)"
="_yi_isoxtim_38",="0.00344",="(1.13)"
="_yi_isoxtim_39",="0",="(.)"
="_yi_isoxtim_40",="0.00286",="(0.95)"
="_yi_isoxtim_41",="0",="(.)"
="_yi_isoxtim_42",="0",="(.)"
="_yi_isoxtim_43",="0.0149",="(1.92)"
="_yi_isoxtim_44",="0.00387",="(1.48)"
="_yi_isoxtim_45",="-0.00596",="(-1.23)"
="_yi_isoxtim_46",="0",="(.)"
