="",="(1)",=""
="",="growthwdi",=""
="udel_temp_popweight",="0.00511",="(1.74)"
="udel_temp_popweight_2",="-0.000280**",="(-2.92)"
="udel_precip_popweight",="-0.00000821",="(-0.88)"
="udel_precip_popweight_2",="4.18e-10",="(0.20)"
="1961.year",="0",="(.)"
="1962.year",="0.00743",="(0.81)"
="1963.year",="-0.00745",="(-0.77)"
="1964.year",="0.00156",="(0.15)"
="1965.year",="-0.00329",="(-0.29)"
="1966.year",="-0.0176",="(-1.41)"
="1967.year",="-0.0189",="(-1.39)"
="1968.year",="-0.00947",="(-0.64)"
="1969.year",="0.00224",="(0.14)"
="1970.year",="0.00249",="(0.15)"
="1971.year",="-0.00763",="(-0.43)"
="1972.year",="-0.00852",="(-0.45)"
="1973.year",="-0.0209",="(-1.04)"
="1974.year",="-0.00787",="(-0.37)"
="1975.year",="-0.0484*",="(-2.21)"
="1976.year",="-0.0123",="(-0.54)"
="1977.year",="-0.0253",="(-1.08)"
="1978.year",="-0.0298",="(-1.24)"
="1979.year",="-0.0227",="(-0.92)"
="1980.year",="-0.0378",="(-1.49)"
="1981.year",="-0.0378",="(-1.46)"
="1982.year",="-0.0626*",="(-2.39)"
="1983.year",="-0.0537*",="(-2.01)"
="1984.year",="-0.0386",="(-1.43)"
="1985.year",="-0.0438",="(-1.61)"
="1986.year",="-0.0328",="(-1.20)"
="1987.year",="-0.0164",="(-0.59)"
="1988.year",="-0.0192",="(-0.69)"
="1989.year",="-0.0270",="(-0.97)"
="1990.year",="-0.0295",="(-1.06)"
="1991.year",="-0.0377",="(-1.36)"
="1992.year",="-0.0443",="(-1.60)"
="1993.year",="-0.0403",="(-1.47)"
="1994.year",="-0.0313",="(-1.15)"
="1995.year",="-0.0106",="(-0.39)"
="1996.year",="0.00284",="(0.11)"
="1997.year",="0.00882",="(0.33)"
="1998.year",="-0.00126",="(-0.05)"
="1999.year",="-0.00543",="(-0.21)"
="2000.year",="0.00864",="(0.34)"
="2001.year",="0.00147",="(0.06)"
="2002.year",="0.00611",="(0.24)"
="2003.year",="0.00933",="(0.37)"
="2004.year",="0.0348",="(1.40)"
="2005.year",="0.0319",="(1.29)"
="2006.year",="0.0393",="(1.59)"
="2007.year",="0.0399",="(1.61)"
="2008.year",="0.0231",="(0.93)"
="2009.year",="-0.0174",="(-0.69)"
="2010.year",="0.0413",="(1.60)"
="_yi_isoxtim_2",="0",="(.)"
="_yi_isoxtim_3",="0",="(.)"
="_yi_isoxtim_4",="-0.00880",="(-0.72)"
="_yi_isoxtim_5",="0",="(.)"
="_yi_isoxtim_6",="0.0144**",="(2.86)"
="_yi_isoxtim_7",="0",="(.)"
="_yi_isoxtim_8",="0",="(.)"
="_yi_isoxtim_9",="0",="(.)"
="_yi_isoxtim_10",="0",="(.)"
="_yi_isoxtim_11",="0.00338",="(1.33)"
="_yi_isoxtim_12",="0",="(.)"
="_yi_isoxtim_13",="0",="(.)"
="_yi_isoxtim_14",="0.00295",="(1.01)"
="_yi_isoxtim_15",="0.00369",="(1.26)"
="_yi_isoxtim_16",="0",="(.)"
="_yi_isoxtim_17",="0",="(.)"
="_yi_isoxtim_18",="-0.0139",="(-1.36)"
="_yi_isoxtim_19",="0",="(.)"
="_yi_isoxtim_20",="0",="(.)"
="_yi_isoxtim_21",="-0.309***",="(-5.29)"
="_yi_isoxtim_22",="0.0644***",="(3.49)"
="_yi_isoxtim_23",="0.00673**",="(2.69)"
="_yi_isoxtim_24",="0",="(.)"
="_yi_isoxtim_25",="0",="(.)"
="_yi_isoxtim_26",="0",="(.)"
="_yi_isoxtim_27",="0",="(.)"
="_yi_isoxtim_28",="-0.000948",="(-0.14)"
="_yi_isoxtim_29",="-0.00766",="(-1.02)"
="_yi_isoxtim_30",="0",="(.)"
="_yi_isoxtim_31",="0",="(.)"
="_yi_isoxtim_32",="0.00302",="(1.04)"
="_yi_isoxtim_33",="0.00536",="(1.13)"
="_yi_isoxtim_34",="0",="(.)"
="_yi_isoxtim_35",="0.00615*",="(2.39)"
="_yi_isoxtim_36",="0",="(.)"
="_yi_isoxtim_37",="0",="(.)"
="_yi_isoxtim_38",="0",="(.)"
="_yi_isoxtim_39",="0",="(.)"
="_yi_isoxtim_40",="0.00324",="(1.29)"
="_yi_isoxtim_41",="0",="(.)"
="_yi_isoxtim_42",="-0.00794",="(-1.25)"
="_yi_isoxtim_43",="0.0120",="(1.60)"
="_yi_isoxtim_44",="0.00373",="(1.57)"
="_yi_isoxtim_45",="-0.00614",="(-1.31)"
