="",="(1)",=""
="",="growthwdi",=""
="udel_temp_popweight",="0.00602*",="(2.20)"
="udel_temp_popweight_2",="-0.000322***",="(-3.35)"
="udel_precip_popweight",="0.00000126",="(0.13)"
="udel_precip_popweight_2",="-2.61e-10",="(-0.11)"
="1961.year",="0",="(.)"
="1962.year",="-0.00197",="(-0.22)"
="1963.year",="-0.0102",="(-1.07)"
="1964.year",="0.00844",="(0.80)"
="1965.year",="0.0105",="(0.91)"
="1966.year",="-0.00188",="(-0.15)"
="1967.year",="-0.00160",="(-0.12)"
="1968.year",="0.0107",="(0.72)"
="1969.year",="0.0215",="(1.33)"
="1970.year",="0.0144",="(0.83)"
="1971.year",="0.00129",="(0.07)"
="1972.year",="0.0162",="(0.83)"
="1973.year",="0.00652",="(0.32)"
="1974.year",="0.0202",="(0.94)"
="1975.year",="-0.00578",="(-0.26)"
="1976.year",="0.0260",="(1.12)"
="1977.year",="0.000392",="(0.02)"
="1978.year",="-0.00131",="(-0.05)"
="1979.year",="-0.00376",="(-0.15)"
="1980.year",="-0.0209",="(-0.80)"
="1981.year",="-0.0140",="(-0.53)"
="1982.year",="-0.0273",="(-1.01)"
="1983.year",="-0.0216",="(-0.79)"
="1984.year",="-0.00858",="(-0.31)"
="1985.year",="-0.0146",="(-0.52)"
="1986.year",="-0.0168",="(-0.59)"
="1987.year",="-0.0135",="(-0.47)"
="1988.year",="-0.00375",="(-0.13)"
="1989.year",="-0.0197",="(-0.69)"
="1990.year",="-0.0109",="(-0.38)"
="1991.year",="-0.0283",="(-0.99)"
="1992.year",="-0.0553",="(-1.93)"
="1993.year",="-0.0482",="(-1.69)"
="1994.year",="-0.0411",="(-1.45)"
="1995.year",="-0.0144",="(-0.51)"
="1996.year",="-0.0101",="(-0.36)"
="1997.year",="-0.0145",="(-0.53)"
="1998.year",="-0.0264",="(-0.96)"
="1999.year",="-0.0290",="(-1.07)"
="2000.year",="-0.0233",="(-0.87)"
="2001.year",="-0.0334",="(-1.26)"
="2002.year",="-0.0359",="(-1.36)"
="2003.year",="-0.0347",="(-1.33)"
="2004.year",="-0.0178",="(-0.69)"
="2005.year",="-0.0287",="(-1.11)"
="2006.year",="-0.0276",="(-1.07)"
="2007.year",="-0.0340",="(-1.31)"
="2008.year",="-0.0596*",="(-2.29)"
="2009.year",="-0.101***",="(-3.85)"
="2010.year",="-0.0647*",="(-2.41)"
="_yi_isoxtim_2",="0",="(.)"
="_yi_isoxtim_3",="-0.0999",="(-0.37)"
="_yi_isoxtim_4",="-0.0147",="(-1.18)"
="_yi_isoxtim_5",="-0.00457",="(-0.43)"
="_yi_isoxtim_6",="0.0106",="(1.53)"
="_yi_isoxtim_7",="0",="(.)"
="_yi_isoxtim_8",="0",="(.)"
="_yi_isoxtim_9",="0",="(.)"
="_yi_isoxtim_10",="-0.000146",="(-0.05)"
="_yi_isoxtim_11",="0",="(.)"
="_yi_isoxtim_12",="0.141***",="(8.53)"
="_yi_isoxtim_13",="0",="(.)"
="_yi_isoxtim_14",="0",="(.)"
="_yi_isoxtim_15",="-0.000456",="(-0.18)"
="_yi_isoxtim_16",="-0.000451",="(-0.15)"
="_yi_isoxtim_17",="-0.000903",="(-0.30)"
="_yi_isoxtim_18",="0",="(.)"
="_yi_isoxtim_19",="0",="(.)"
="_yi_isoxtim_20",="0",="(.)"
="_yi_isoxtim_21",="0",="(.)"
="_yi_isoxtim_22",="0.0550***",="(3.72)"
="_yi_isoxtim_23",="0",="(.)"
="_yi_isoxtim_24",="0",="(.)"
="_yi_isoxtim_25",="0",="(.)"
="_yi_isoxtim_26",="0",="(.)"
="_yi_isoxtim_27",="0",="(.)"
="_yi_isoxtim_28",="-0.00342",="(-0.68)"
="_yi_isoxtim_29",="0",="(.)"
="_yi_isoxtim_30",="0",="(.)"
="_yi_isoxtim_31",="-0.00338",="(-1.29)"
="_yi_isoxtim_32",="-0.00117",="(-0.48)"
="_yi_isoxtim_33",="0",="(.)"
="_yi_isoxtim_34",="0",="(.)"
="_yi_isoxtim_35",="0.00193",="(0.63)"
="_yi_isoxtim_36",="0",="(.)"
="_yi_isoxtim_37",="-0.00615*",="(-2.32)"
="_yi_isoxtim_38",="0.0000381",="(0.01)"
="_yi_isoxtim_39",="0",="(.)"
="_yi_isoxtim_40",="0",="(.)"
="_yi_isoxtim_41",="-0.000780",="(-0.26)"
="_yi_isoxtim_42",="0",="(.)"
="_yi_isoxtim_43",="0",="(.)"
="_yi_isoxtim_44",="-0.000432",="(-0.17)"
