effect,coef
_yi_isoxtim_181,-0.0014713
_yi_isoxtim_182,-0.0005966
_yi_isoxtim_183,0
_yi_isoxtim_184,0
_yi_isoxtim_185,-0.0110233
_yi_isoxtim_186,0.0135027
_yi_isoxtim_187,0.0009355
_yi_isoxtim_188,0.0000155
_yi_isoxtim_189,-0.0000668
_yi_isoxtim_190,-0.0249412
_yi_isoxtim_191,0.0041786
_yi_isoxtim_192,-0.0030032
_yi_isoxtim_193,0.0101803
_yi_isoxtim_194,-0.0007531
_yi_isoxtim_195,0
_yi_isoxtim_196,0.0048416
_yi_isoxtim_197,-0.0252159
_yi_isoxtim_198,-0.003906
_yi_isoxtim_199,-0.0063117
_yi_isoxtim_200,-0.0039368
_yi_isoxtim_201,0
_y2_isoxtim_2,0
_y2_isoxtim_3,0.0010371
_y2_isoxtim_4,0.0002637
_y2_isoxtim_5,0.0001194
_y2_isoxtim_6,-0.0001576
_y2_isoxtim_7,0.0000704
_y2_isoxtim_8,-0.0026822
_y2_isoxtim_9,0
_y2_isoxtim_10,0.0000244
_y2_isoxtim_11,0.0000231
_y2_isoxtim_12,-0.0015466
_y2_isoxtim_13,0.000023
_y2_isoxtim_14,0.0000309
_y2_isoxtim_15,0.0000387
_y2_isoxtim_16,0.0000443
_y2_isoxtim_17,0.0000651
_y2_isoxtim_18,0.0002394
_y2_isoxtim_19,0
_y2_isoxtim_20,0.0000193
_y2_isoxtim_21,0.0033327
_y2_isoxtim_22,-0.0006289
_y2_isoxtim_23,-0.0000272
_y2_isoxtim_24,0
_y2_isoxtim_25,0.0000889
_y2_isoxtim_26,0.0000636
_y2_isoxtim_27,0
_y2_isoxtim_28,0.0001007
_y2_isoxtim_29,0.0001376
_y2_isoxtim_30,-0.0000371
_y2_isoxtim_31,0.0001052
_y2_isoxtim_32,0.0000351
_y2_isoxtim_33,7.33E-06
_y2_isoxtim_34,0
_y2_isoxtim_35,-4.09E-06
_y2_isoxtim_36,-0.0000631
_y2_isoxtim_37,0.0001262
_y2_isoxtim_38,0.0000207
_y2_isoxtim_39,0
_y2_isoxtim_40,0.0000395
_y2_isoxtim_41,0.0000376
